Year_Start,Year_End,Estate_ID,Block_ID,Block_Boiler_Repairs_and_Maintenance,Block_Cleaning,Block_Communal_Electricity,Block_Communal_Electrical_Maintenance,Block_Communal_Ventilation_Maintenance,Block_Communal_Water_Quality,Block_Communal_Window_Cleaning,Block_Concierge,Block_CCTV,Block_Disinfestation,Block_Door_Entry_System,Block_Dry_Riser,Block_Lightning_Protection,Block_Lift_Services_and_Repairs,Block_Fire_Ventilation_Maintenance,Block_Repairs_and_Maintenance,Block_TV_Aerial,Block_Ext_Cleaning,Block_Ext_External_Tree_Maintenance,Block_Ext_Grounds_Maintenance,Block_Ext_Repairs_and_Maintenance,Estate_Cleaning,Estate_CCTV,Estate_Communal_Electricity,Estate_Grounds_Maintenance,Estate_Repairs_and_Maintenance,Estate_Tree_Maintenance
2021,2022,7,9,0.00,2679.87,1120.79,351.88,0.00,0.00,0.00,0.00,0.00,0.00,241.26,0.00,183.75,3608.11,0.00,3597.87,0.00,0.00,0.00,0.00,0.00,18932.52,0.00,0.00,17925.15,5384.24,0.00
2022,2023,7,9,0.00,2883.32,1742.58,561.47,0.00,0.00,0.00,0.00,0.00,0.00,384.97,0.00,349.72,1375.04,0.00,300.81,0.00,0.00,0.00,0.00,0.00,22630.48,0.00,3387.31,11467.85,1531.01,0.00
2022,2023,8,10,5986.74,2065.51,0.00,100.05,13162.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,124.53,0.00,0.00,0.00,0.00,14886.60,0.00,29028.00,12186.50,8589.02,0.00
2022,2023,5,11,0.00,9877.17,3991.38,561.47,0.00,2650.42,0.00,0.00,0.00,317.22,769.92,0.00,0.00,2750.10,0.00,7138.31,0.00,0.00,0.00,0.00,0.00,93318.88,0.00,33131.86,24308.38,2581.02,5177.47
2022,2023,9,12,0.00,3376.49,1031.37,1033.18,0.00,1634.69,0.00,0.00,0.00,105.74,443.13,0.00,0.00,0.00,0.00,3745.48,0.00,0.00,0.00,0.00,0.00,35162.67,0.00,2441.53,14559.23,4072.24,0.00
2022,2023,10,13,6635.26,2252.85,6503.97,513.31,0.00,206.86,117.28,0.00,0.00,221.02,0.00,0.00,0.00,1257.02,0.00,38.17,0.00,0.00,0.00,0.00,0.00,30134.80,57787.72,0.00,26845.50,16468.20,30655.02
2022,2023,11,14,0.00,27022.92,4353.06,445.80,0.00,3206.66,0.00,0.00,0.00,317.22,2888.05,0.00,1545.73,0.00,0.00,13053.61,0.00,0.00,0.00,0.00,0.00,41070.21,3399.40,3638.99,4288.88,13074.33,1294.37
2022,2023,12,15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18522.21,0.00,2599.10,335.84,0.00,335.84
2022,2023,13,16,47825.99,25948.93,22141.70,716.09,12751.18,298.54,0.00,46285.34,0.00,385.88,598.13,306.63,349.72,4899.18,0.00,47468.42,0.00,0.00,0.00,0.00,0.00,35262.02,0.00,19198.90,5226.29,14638.36,0.00
2022,2023,14,17,0.00,3348.05,908.53,745.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,375.87,7729.33,206.11,0.00,0.00,0.00,0.00,5914.55,0.00,767.56,3374.02,0.00,8621.65
2022,2023,14,18,0.00,3133.66,1252.46,1118.14,0.00,0.00,0.00,0.00,0.00,211.48,0.00,0.00,0.00,0.00,375.87,5996.06,254.59,0.00,0.00,0.00,0.00,5914.55,0.00,767.56,3374.02,0.00,8621.65
2022,2023,15,19,0.00,6035.56,1866.01,109.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11938.09,0.00,0.00,0.00,0.00,0.00,54830.73,0.00,5527.37,14042.69,1005.35,5126.21
2022,2023,16,20,0.00,915.52,427.34,253.61,2595.58,0.00,0.00,0.00,0.00,0.00,356.04,0.00,0.00,0.00,0.00,532.75,0.00,603.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2022,2023,17,21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,571.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2022,2023,18,22,0.00,0.00,0.00,101.70,0.00,0.00,0.00,0.00,0.00,0.00,384.97,0.00,0.00,0.00,0.00,613.15,0.00,0.00,0.00,0.00,0.00,17427.09,0.00,0.00,5252.52,835.04,6705.73
2021,2022,19,23,0.00,2773.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,248.32,0.00,0.00,0.00,0.00,103.86,0.00,0.00,0.00,0.00,0.00,2572.85,0.00,0.00,5137.22,2717.82,0.00
2022,2023,19,23,0.00,1883.35,0.00,353.94,0.00,216.02,0.00,0.00,0.00,331.72,385.72,0.00,0.00,0.00,0.00,888.48,0.00,0.00,0.00,0.00,0.00,6447.06,0.00,65.77,3307.42,700.34,0.00
2022,2023,20,24,0.00,12406.51,32301.49,746.23,6127.34,0.00,0.00,0.00,0.00,105.74,678.47,0.00,0.00,0.00,0.00,24755.62,0.00,0.00,0.00,0.00,0.00,34988.95,13597.60,14901.11,5736.73,12027.89,0.00
