Year_Start,Year_End,Estate_ID,Block_ID,Block_Boiler_Repairs_and_Maintenance,Block_Cleaning,Block_Communal_Electricity,Block_Communal_Electrical_Maintenance,Block_Communal_Ventilation_Maintenance,Block_Communal_Water_Quality,Block_Communal_Window_Cleaning,Block_Concierge,Block_CCTV,Block_Disinfestation,Block_Door_Entry_System,Block_Dry_Riser,Block_Lightning_Protection,Block_Lift_Services_and_Repairs,Block_Fire_Ventilation_Maintenance,Block_Repairs_and_Maintenance,Block_TV_Aerial,Block_Ext_Cleaning,Block_Ext_External_Tree_Maintenance,Block_Ext_Grounds_Maintenance,Block_Ext_Repairs_and_Maintenance,Estate_Cleaning,Estate_CCTV,Estate_Communal_Electricity,Estate_Grounds_Maintenance,Estate_Repairs_and_Maintenance,Estate_Tree_Maintenance
2022,2023,EA012,BD002245,0,6104.08,3293.37,1566.1,0,1634.69,0,0,0,0,644.84,0,0,5281.64,0,8205.03,0,0,0,0,0,17580.85,0,2174.47,6023.28,340.45,0
2022,2023,EA012,BD002246,0,1103.32,320.4,664.24,0,0,0,0,0,0,288.8,0,0,0,0,940.03,0,0,0,0,0,17580.85,0,2174.47,6023.28,340.45,0
2022,2023,EA012,BD002247,0,6007.36,1445.9,1864.73,0,1172.88,0,0,0,317.22,799.17,0,0,0,0,5853.22,0,0,0,0,0,17580.85,0,2174.47,6023.28,340.45,0
2022,2023,EA012,BD002248,0,6007.36,2041.51,746.23,0,1172.88,0,0,0,211.48,731.93,0,0,0,0,2790.06,0,0,0,0,0,17580.85,0,2174.47,6023.28,340.45,0
2022,2023,EA012,BD002249,0,2901.59,1257.49,929.88,0,763.36,0,0,0,0,443.13,0,0,0,0,1367.52,0,0,0,0,0,17580.85,0,2174.47,6023.28,340.45,0
2022,2023,EA013,BD002432,0,669.8,0,0,0,226.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9994.04,0,491.29,2369.21,0,8621.65
2022,2023,EA013,BD002443,0,10345.2,28.2,2245.85,0,0,0,0,0,317.22,1630.9,0,0,0,0,12566.77,0,0,0,0,0,9994.04,0,491.29,2369.21,0,8621.65
2022,2023,EA013,BD002444,0,11630.8,908.47,2807.32,0,0,0,0,0,105.74,1924.83,0,0,0,0,55387.57,0,0,0,0,0,9994.04,0,491.29,2369.21,0,8621.65
2022,2023,EA013,BD002445,0,1750.13,291.26,553.72,0,226.24,0,0,0,211.48,0,0,0,0,0,645.01,0,0,0,0,0,9994.04,0,491.29,2369.21,0,8621.65
2022,2023,EA013,BD002446,0,1750.13,252.43,553.72,0,226.24,0,0,0,0,508.47,0,0,0,0,639.54,0,0,0,0,0,9994.04,0,491.29,2369.21,0,8621.65
2022,2023,EA013,BD002447,0,1944.59,253.71,553.72,0,0,0,0,0,0,384.97,0,0,0,0,433.74,0,0,0,0,0,9994.04,0,491.29,2369.21,0,8621.65
2022,2023,EA013,BD002448,0,1819.27,231.07,553.72,0,0,0,0,0,0,384.97,0,0,0,0,1926.9,0,0,0,0,0,9994.04,0,491.29,2369.21,0,8621.65
2022,2023,EA014,BD001466,0,7616.84,1895.08,1442.43,0,15175,0,0,0,0,120.71,983.33,0,0,0,10852.59,412.2,0,0,0,0,4841.07,0,473.77,501.55,2959.73,336.41
2022,2023,EA015,BD002185,0,2483.28,243.02,294.6,0,763.36,0,0,0,0,221.57,0,0,0,0,400.4,0,0,0,0,0,49254.27,0,10708.88,5215.64,5978.34,336.41
2022,2023,EA015,BD002189,0,3471.26,544.08,376.59,0,763.36,0,0,0,0,221.57,0,0,0,0,2241.75,0,0,0,0,0,49254.27,0,10708.88,5215.64,5978.34,336.41
2022,2023,EA015,BD002357,0,2782.01,0,544.23,0,0,0,0,0,105.74,0,0,0,0,0,1679.72,84.86,0,0,0,0,49254.27,0,10708.88,5215.64,5978.34,336.41
2022,2023,EA015,BD002358,0,2414.86,0,294.6,0,0,0,0,0,0,0,0,0,0,0,384.98,72.73,0,0,0,0,49254.27,0,10708.88,5215.64,5978.34,336.41
2022,2023,EA015,BD002362,0,1325.09,0,0,0,0,0,0,0,0,0,0,0,0,0,207.56,0,0,0,0,0,49254.27,0,10708.88,5215.64,5978.34,336.41
2022,2023,EA015,BD002366,0,1538.7,0,0,0,0,0,0,0,211.48,0,0,0,0,0,757.76,48.49,0,0,0,0,49254.27,0,10708.88,5215.64,5978.34,336.41
2022,2023,EA015,BD002367,0,1221.62,0,0,0,0,0,0,0,105.74,0,0,0,0,0,246.13,0,0,0,0,0,49254.27,0,10708.88,5215.64,5978.34,336.41
2022,2023,EA015,BD002371,0,1945.91,1150.21,130.62,0,0,0,0,0,0,0,0,0,0,0,246.13,0,0,0,0,0,49254.27,0,10708.88,5215.64,5978.34,336.41
2022,2023,EA015,BD002372,0,3010.65,0,376.59,0,0,0,0,0,0,0,0,0,0,0,1379.48,96.99,0,0,0,0,49254.27,0,10708.88,5215.64,5978.34,336.41
2022,2023,EA015,BD002374,0,3010.65,0,376.59,0,0,0,0,0,0,0,0,0,0,0,54.68,96.99,0,0,0,0,49254.27,0,10708.88,5215.64,5978.34,336.41
2022,2023,EA015,BD002375,0,1194.91,0,0,0,0,0,0,0,0,0,0,0,0,0,1803.97,0,0,0,0,0,49254.27,0,10708.88,5215.64,5978.34,336.41
2022,2023,EA015,BD002377,0,1194.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49254.27,0,10708.88,5215.64,5978.34,336.41
2022,2023,EA015,BD002378,0,1446.91,0,130.62,0,0,0,0,0,0,0,0,0,0,0,300.81,0,0,0,0,0,49254.27,0,10708.88,5215.64,5978.34,336.41
2022,2023,EA015,BD002380,0,5715.89,0,671.18,0,0,0,0,0,317.22,0,0,0,0,0,3264.11,169.73,0,0,0,0,49254.27,0,10708.88,5215.64,5978.34,336.41
2022,2023,EA015,BD002386,0,1343.44,985.95,89.63,0,0,0,0,0,0,0,0,0,0,0,246.13,0,0,0,0,0,49254.27,0,10708.88,5215.64,5978.34,336.41
2022,2023,EA015,BD002387,0,8784.95,2450.73,2270.07,0,0,0,0,0,0,0,0,0,0,0,8016.96,266.71,0,0,0,0,49254.27,0,10708.88,5215.64,5978.34,336.41
2022,2023,EA016,BD002802,0,17080.1,2639.98,109.44,0,2301.7,0,0,0,211.48,0,0,0,0,0,28144.45,0,0,0,0,0,20463.95,0,1710.71,1927.09,934.88,0
2022,2023,EA016,BD002803,0,9114.36,1337.14,109.44,0,904.96,0,0,0,105.74,0,0,0,0,0,7235.96,0,0,0,0,0,20463.95,0,1710.71,1927.09,934.88,0
2022,2023,EA016,BD002833,0,7004.22,2865.78,109.44,0,1073.23,0,0,0,0,0,0,0,1375.04,0,3021.71,0,0,0,0,0,20463.95,0,1710.71,1927.09,934.88,0
2022,2023,EA017,BD002258,0,6093.34,2479.09,787.22,0,1994.66,0,0,0,211.48,288.8,0,0,2640.82,0,6041.59,290.97,0,0,0,0,17352.32,6798.8,2040.58,3593.24,340.45,336.41
2022,2023,EA017,BD002259,0,4040.73,1206.3,1238.15,0,763.36,0,0,0,422.96,1115.5,0,0,0,0,642.4,1591.35,0,0,0,0,17352.32,6798.8,2040.58,3593.24,340.45,336.41
2022,2023,EA017,BD002260,0,2411.72,2512.78,664.24,0,672.6,0,0,0,105.74,1283.6,0,0,0,0,7169.61,0,0,0,0,0,17352.32,6798.8,2040.58,3593.24,340.45,336.41
2022,2023,EA017,BD002261,0,1708.71,576.71,171.62,0,1088.46,0,0,0,0,221.57,0,0,0,0,378.54,72.73,0,0,0,0,17352.32,6798.8,2040.58,3593.24,340.45,336.41
2022,2023,EA017,BD002262,0,4545.82,1387.42,705.24,0,3045.96,0,0,0,0,731.93,0,0,0,0,2747.25,218.22,0,0,0,0,17352.32,6798.8,2040.58,3593.24,340.45,336.41
2022,2023,EA018,BD001097,0,5550.93,2659.37,1402.13,0,763.36,0,0,0,105.74,712.09,0,0,5281.64,0,1078.79,0,0,0,0,0,13889.19,0,1473.41,4116.33,1432.91,0
2022,2023,EA018,BD001098,0,6581.02,1876.33,1443.12,0,763.36,0,0,0,211.48,577.61,0,0,5281.64,0,1778.8,0,0,0,0,0,13889.19,0,1473.41,4116.33,1432.91,0
2022,2023,EA018,BD001102,0,1768.08,625.26,828.21,0,379.97,0,0,0,105.74,221.57,0,0,0,0,246.13,0,0,0,0,0,13889.19,0,1473.41,4116.33,1432.91,0
2022,2023,EA018,BD001103,0,3536.16,732.69,1074.18,0,0,0,0,0,105.74,1451.69,0,0,0,0,1506.86,0,0,0,0,0,13889.19,0,1473.41,4116.33,1432.91,0
2022,2023,EA020,BD000460,0,3184.2,684.74,746.23,0,1088.46,0,0,0,0,1230.12,0,657.29,0,0,4316.6,0,0,0,0,0,34988.95,13597.6,14901.11,5736.73,12027.89,0
2022,2023,EA020,BD000461,0,17319.6,13833.87,1197.15,0,1557.63,0,0,0,105.74,356.04,983.33,657.29,5281.64,0,52095.66,0,0,0,0,0,34988.95,13597.6,14901.11,5736.73,12027.89,0
2022,2023,EA020,BD000462,0,3938.7,852.16,746.23,0,763.36,0,0,0,211.48,2003.37,0,657.29,0,0,7346.5,0,0,0,0,0,34988.95,13597.6,14901.11,5736.73,12027.89,0
2022,2023,EA020,BD000463,0,9648.59,4741.14,2058.03,4474.97,3546.74,0,0,0,317.22,423.27,0,0,2640.82,0,2531.12,0,0,0,0,0,34988.95,13597.6,14901.11,5736.73,12027.89,0
2022,2023,EA020,BD000464,0,9206.83,4127.14,212.61,0,2122.1,0,0,0,211.48,288.8,0,657.29,2071.96,0,6792.13,0,0,0,0,0,34988.95,13597.6,14901.11,5736.73,12027.89,0
