Year_Start,Year_End,Estate_ID,Block_ID,Block_Administration_Charge,Block_Administration_Charge_Unit,Block_TV_Aerial,Block_TV_Aerial_Unit,Block_Repairs,Block_Repairs_Unit,Block_Estate_Lighting,Block_Estate_Lighting_Unit,Block_Security_Services,Block_Security_Services_Unit,Block_Lift_Maintenance,Block_Lift_Maintenance_Unit,Block_Heating_And_Hotwater,Block_Heating_And_Hotwater_Unit,Block_Ground_Rent,Block_Ground_Rent_Unit,Block_Building_Insurance,Block_Building_Insurance_Unit,Block_Door_Entry,Block_Door_Entry_Unit,Block_Care_And_Upkeep,Block_Care_And_Upkeep_Unit,Estate_Care_And_Upkeep,Estate_Care_And_Upkeep_Unit,Estate_Grounds_Maintenance,Estate_Grounds_Maintenance_Unit,Estate_Lighting,Estate_Lighting_Unit,Estate_Repairs_And_Maintenance,Estate_Repairs_And_Maintenance_Unit
2022,2023,"SWKE0288","SWKB1068","4744.23","25.92","0.00","0.00","1135.24","6.20","30288.52","165.51","0.00","0.00","1940.52","10.60","0.00","0.00","150.00","0.82","6331.23","34.60","0.00","0.00","5131.57","28.04","36388.87","5.99","15134.54","2.49","3958.58","0.65","5509.76","0.91"
2022,2023,"SWKE0288","SWKB1069","3536.98","23.27","0.00","0.00","895.57","5.89","21622.16","142.25","0.00","0.00","2991.37","19.68","0.00","0.00","100.00","0.66","4482.18","29.49","0.00","0.00","3604.48","23.71","36388.87","5.99","15134.54","2.49","3958.58","0.65","5509.76","0.91"
2022,2023,"SWKE0082","SWKB1070","3055.56","11.07","0.00","0.00","8555.64","31.00","2281.81","8.27","0.00","0.00","0.00","0.00","0.00","0.00","240.00","0.87","8231.32","29.82","0.00","0.00","4073.64","14.76","13658.39","7.08","5272.73","2.73","3668.66","1.90","2674.92","1.39"
2022,2023,"SWKE0129","SWKB1071","2193.94","7.70","0.00","0.00","4322.42","15.17","2411.48","8.46","0.00","0.00","2935.96","10.30","0.00","0.00","140.00","0.49","5788.56","20.31","0.00","0.00","2381.42","8.36","33233.44","5.71","15254.16","2.62","6285.16","1.08","4205.47","0.72"
2022,2023,"SWKE0111","SWKB1072","0.00","0.00","0.00","0.00","18867.76","128.35","924.49","6.29","0.00","0.00","0.00","0.00","26849.92","182.65","110.00","0.75","3817.52","25.97","0.00","0.00","4578.16","31.14","0.00","0.00","6114.08","2.85","2844.13","1.32","77.17","0.04"
2022,2023,"SWKE0111","SWKB1073","0.00","0.00","0.00","0.00","16484.30","89.10","1595.70","8.63","0.00","0.00","0.00","0.00","17201.70","92.98","100.00","0.54","3446.40","18.63","327.00","1.77","3105.70","16.79","0.00","0.00","6114.08","2.85","2844.13","1.32","77.17","0.04"
2022,2023,"SWKE0111","SWKB1074","0.00","0.00","0.00","0.00","17188.05","121.04","1042.95","7.34","0.00","0.00","0.00","0.00","20138.46","141.82","70.00","0.49","2780.29","19.58","0.00","0.00","3558.51","25.06","0.00","0.00","6114.08","2.85","2844.13","1.32","77.17","0.04"
2022,2023,"SWKE0111","SWKB1075","0.00","0.00","0.00","0.00","22853.59","118.41","1553.01","8.05","0.00","0.00","0.00","0.00","26577.00","137.70","110.00","0.57","4126.44","21.38","0.00","0.00","4407.80","22.84","0.00","0.00","6114.08","2.85","2844.13","1.32","77.17","0.04"
2022,2023,"SWKE0111","SWKB1076","0.00","0.00","0.00","0.00","15344.29","201.90","668.90","8.80","0.00","0.00","0.00","0.00","19458.02","256.03","80.00","1.05","3092.52","40.69","0.00","0.00","3483.77","45.84","0.00","0.00","6114.08","2.85","2844.13","1.32","77.17","0.04"
2022,2023,"SWKE0231","SWKB1077","1206.15","9.97","0.00","0.00","1000.44","8.27","1488.91","12.31","0.00","0.00","1440.11","11.90","0.00","0.00","70.00","0.58","2729.46","22.56","189.16","1.56","1755.72","14.51","1353.89","11.19","1741.53","14.39","337.43","2.79","24.98","0.21"
