Year_Start,Year_End,Estate_ID,Block_ID,Block_Administration_Charge,Block_TV_Aerial,Block_Repairs,Block_Estate_Lighting,Block_Security_Services,Block_Lift_Maintenance,Block_Heating_And_Hotwater,Block_Ground_Rent,Block_Building_Insurance,Block_Door_Entry,Block_Care_And_Upkeep,Estate_Care_And_Upkeep,Estate_Grounds_Maintenance,Estate_Lighting,Estate_Repairs_And_Maintenance
2022,2023,"SWKE0041","SWKB0520","2846.25","0.00","1657.21","776.02","0.00","0.00","17277.76","110.00","3663.91","518.14","2546.72","66294.63","43369.16","23493.13","6607.17"
2022,2023,"SWKE0041","SWKB0521","4603.24","0.00","446.42","784.04","0.00","0.00","28965.96","160.00","6005.10","535.10","5180.58","66294.63","43369.16","23493.13","6607.17"
2022,2023,"SWKE0041","SWKB0522","1797.23","0.00","2392.64","310.20","0.00","0.00","10620.29","50.00","1953.33","196.23","1393.08","66294.63","43369.16","23493.13","6607.17"
2022,2023,"SWKE0286","SWKB0523","257.70","0.00","447.30","110.78","0.00","174.80","0.00","20.00","689.28","92.44","723.24","7392.35","3663.39","3063.13","598.47"
2022,2023,"SWKE0114","SWKB0524","4198.01","0.00","9930.89","2291.37","0.00","5533.50","0.00","200.00","8113.48","4503.21","6114.89","3773.94","4132.29","626.66","1842.66"
2022,2023,"SWKE0114","SWKB0525","247.49","0.00","120.48","107.16","0.00","0.00","1395.99","10.00","339.82","0.00","358.88","3773.94","4132.29","626.66","1842.66"
2022,2023,"SWKE0112","SWKB0526","1399.90","0.00","1301.18","762.04","0.00","0.00","0.00","120.00","4523.63","0.00","4443.69","37372.02","29578.18","5048.69","2283.47"
2022,2023,"SWKE0079","SWKB0527","810.60","0.00","1032.70","694.10","0.00","0.00","0.00","50.00","2111.15","0.00","2730.35","17553.15","7775.92","656.97","120.30"
2022,2023,"SWKE0079","SWKB0528","1471.77","0.00","2177.01","1057.32","0.00","0.00","0.00","90.00","3800.07","0.00","4914.63","17553.15","7775.92","656.97","120.30"
2022,2023,"SWKE0079","SWKB0529","60.09","0.00","0.00","0.00","0.00","0.00","0.00","10.00","344.64","0.00","0.00","17553.15","7775.92","656.97","120.30"
2022,2023,"SWKE0079","SWKB0530","137.76","0.00","175.72","0.00","0.00","0.00","0.00","20.00","689.28","0.00","0.00","17553.15","7775.92","656.97","120.30"
2022,2023,"SWKE0111","SWKB0531","0.00","0.00","15301.16","4199.34","0.00","0.00","18769.29","90.00","3062.21","0.00","3119.48","0.00","6114.08","2844.13","77.17"
2022,2023,"SWKE0111","SWKB0532","0.00","0.00","5497.81","1127.66","0.00","0.00","36094.03","160.00","6108.21","620.63","6169.05","0.00","6114.08","2844.13","77.17"
2022,2023,"SWKE0111","SWKB0533","0.00","0.00","13882.98","844.52","0.00","0.00","20330.31","90.00","3118.31","0.00","3482.12","0.00","6114.08","2844.13","77.17"
2022,2023,"SWKE0111","SWKB0534","0.00","0.00","26809.33","2407.87","0.00","0.00","22543.91","140.00","4742.81","465.34","4256.75","0.00","6114.08","2844.13","77.17"
2022,2023,"SWKE0286","SWKB0535","922.69","0.00","1157.09","2045.71","0.00","0.00","0.00","60.00","2106.69","0.00","2574.43","7392.35","3663.39","3063.13","598.47"
2022,2023,"SWKE0329","SWKB0536","834.42","0.00","830.22","1659.86","0.00","732.92","0.00","60.00","2065.20","0.00","1621.12","67056.41","57695.83","7120.45","2827.45"
2022,2023,"SWKE0087","SWKB0537","870.50","0.00","2572.92","270.72","0.00","0.00","0.00","80.00","2816.81","0.00","1597.21","9590.04","5415.19","1480.71","1213.61"
2022,2023,"SWKE0201","SWKB0538","721.63","0.00","1101.39","710.74","0.00","752.25","0.00","40.00","1774.05","137.80","1458.36","36636.71","15477.74","7328.70","4457.84"
2022,2023,"SWKE0157","SWKB0539","0.00","0.00","396.36","588.32","0.00","676.34","0.00","20.00","686.64","664.34","1076.24","0.00","12815.76","10556.31","1043.51"
2022,2023,"SWKE0079","SWKB0540","870.18","0.00","385.20","661.20","0.00","0.00","0.00","60.00","2533.38","0.00","3276.42","17553.15","7775.92","656.97","120.30"
2022,2023,"SWKE0079","SWKB0541","631.80","0.00","573.76","640.80","0.00","0.00","0.00","40.00","1688.92","0.00","2184.28","17553.15","7775.92","656.97","120.30"
2022,2023,"SWKE0079","SWKB0542","109.62","0.00","569.35","0.00","0.00","0.00","0.00","10.00","302.15","0.00","0.00","17553.15","7775.92","656.97","120.30"
2022,2023,"SWKE0117","SWKB0543","378.63","0.00","916.89","349.32","0.00","0.00","0.00","30.00","1033.92","456.33","775.20","647.06","0.00","62.74","0.00"
2022,2023,"SWKE0117","SWKB0544","635.16","0.00","414.51","822.63","0.00","637.52","0.00","70.00","2645.25","32.68","1343.68","647.06","0.00","62.74","0.00"
2022,2023,"SWKE0118","SWKB0545","439.84","0.00","588.42","597.53","0.00","691.53","0.00","40.00","1456.15","0.00","775.20","710.19","0.00","128.21","0.00"
2022,2023,"SWKE0118","SWKB0546","864.42","0.00","2211.78","618.66","0.00","1646.70","0.00","60.00","2067.84","0.00","1550.40","710.19","0.00","128.21","0.00"
2022,2023,"SWKE0119","SWKB0547","7591.59","0.00","5944.73","12125.73","22532.84","7695.38","0.00","550.00","11238.35","3291.20","7234.70","7478.12","216.06","1046.96","743.96"
2022,2023,"SWKE0291","SWKB0548","2233.88","0.00","2453.70","717.54","0.00","951.10","10748.34","60.00","2959.78","0.00","1856.85","58565.61","9635.91","7060.54","879.53"
2022,2023,"SWKE0129","SWKB0549","510.92","0.00","1055.96","247.92","0.00","0.00","0.00","40.00","1373.28","0.00","1127.76","33233.44","15254.16","6285.16","4205.47"
2022,2023,"SWKE0129","SWKB0550","897.75","0.00","385.89","5824.95","0.00","0.00","0.00","30.00","1029.96","0.00","758.55","33233.44","15254.16","6285.16","4205.47"
2022,2023,"SWKE0156","SWKB0551","408.04","0.00","899.75","275.65","0.00","0.00","0.00","70.00","1266.69","42.72","834.22","18101.96","6570.48","4272.51","2078.74"
2022,2023,"SWKE0329","SWKB0552","1104.02","0.00","4248.98","193.68","0.00","431.18","0.00","60.00","2544.22","200.44","1817.92","67056.41","57695.83","7120.45","2827.45"
2022,2023,"SWKE0261","SWKB0553","3262.11","0.00","1158.51","6525.17","0.00","759.72","15529.10","80.00","2843.27","0.00","2710.17","10869.53","2265.24","1514.86","332.26"
2022,2023,"SWKE0011","SWKB0554","1082.87","0.00","1193.08","2259.29","0.00","1025.39","0.00","70.00","3145.07","222.99","1518.14","3952.45","5387.09","1141.47","489.61"
2022,2023,"SWKE0259","SWKB0555","183.89","0.00","231.10","112.11","0.00","589.45","0.00","10.00","338.99","29.07","352.77","7056.09","10017.05","3543.05","651.89"
2022,2023,"SWKE0328","SWKB0556","7925.41","0.00","17800.64","4628.24","0.00","4842.16","29428.15","140.00","6888.48","90.72","5024.88","16278.41","33261.27","7166.77","1330.05"
2022,2023,"SWKE0299","SWKB0557","1767.84","0.00","361.38","83.47","0.00","0.00","10496.90","60.00","2083.01","327.05","2606.43","3953.86","2935.48","5156.26","898.71"
2022,2023,"SWKE0109","SWKB0558","133.06","0.00","169.55","87.75","0.00","0.00","0.00","10.00","344.64","0.00","522.36","28993.09","13027.12","5731.74","8768.26"
2022,2023,"SWKE0109","SWKB0559","133.98","0.00","0.00","0.00","0.00","0.00","0.00","20.00","844.46","0.00","0.00","28993.09","13027.12","5731.74","8768.26"
2022,2023,"SWKE0109","SWKB0560","133.98","0.00","0.00","0.00","0.00","0.00","0.00","20.00","844.46","0.00","0.00","28993.09","13027.12","5731.74","8768.26"
2022,2023,"SWKE0109","SWKB0561","245.22","0.00","1112.50","0.00","0.00","0.00","0.00","20.00","844.46","0.00","0.00","28993.09","13027.12","5731.74","8768.26"
2022,2023,"SWKE0109","SWKB0562","73.57","0.00","53.23","12.57","0.00","0.00","0.00","10.00","422.23","0.00","0.00","28993.09","13027.12","5731.74","8768.26"
2022,2023,"SWKE0109","SWKB0563","132.91","0.00","659.25","0.00","0.00","0.00","0.00","10.00","422.23","0.00","0.00","28993.09","13027.12","5731.74","8768.26"
2022,2023,"SWKE0109","SWKB0564","154.32","0.00","203.54","0.00","0.00","0.00","0.00","20.00","844.46","0.00","0.00","28993.09","13027.12","5731.74","8768.26"
