ID,Estate_Name,Estate_RV
"SWKE0143","Fountain House",56
"SWKE0144","Frankland Close Estate",412
"SWKE0145","Friary Estate",5427
"SWKE0146","Friary Road 069-073(O), 069A-073A(O)",36
"SWKE0147","Friern Estate",792
"SWKE0148","Gateway Estate",959
"SWKE0149","Gatonby Street 1-3(O); Kelly Avenue 39-41(O)",68
"SWKE0150","Gautrey Road 002",185
"SWKE0151","Gautrey Road 044-054(E)",30
"SWKE0152","Gaywood Estate",1481
"SWKE0153","Gibbings House",75
"SWKE0154","Gilesmead",238
"SWKE0155","Gillies Court",132
"SWKE0156","Glebe Estate",2145
"SWKE0157","Gloucester Grove Estate",2190
"SWKE0158","Gomm Road Estate",259
"SWKE0159","Goschen Estate",1051
"SWKE0160","Grange House",204
"SWKE0161","Green Dale Close",63
"SWKE0162","Grosvenor Park 004",51
"SWKE0163","Grosvenor Terrace 055",40
"SWKE0164","Grove Lane 072",156
"SWKE0165","Grove Lane 083A",52
"SWKE0166","Haddonfield Estate",639
"SWKE0167","Haddonhall Estate",1024
"SWKE0168","Halliwell Court",179
"SWKE0169","Hanover Park 040",30
"SWKE0170","Harbord House",70
"SWKE0171","Harfield Gardens",291
"SWKE0172","Harold Estate",536
"SWKE0173","Hartland House",26
"SWKE0174","Havil Street Estate",1016
"SWKE0175","Hawkslade Road 019-029(O)",39
"SWKE0176","Hawkslade Road 031-041(O)",39
"SWKE0177","Hawkstone Estate West",1898
"SWKE0178","Hayles Buildings",460
"SWKE0179","Heaton House",218
"SWKE0180","Hendre House",70
"SWKE0181","Henley Close",64
"SWKE0182","Herne Hill Estate",256
"SWKE0183","Hillbeck Close",203
"SWKE0184","Hillcrest",225
"SWKE0185","Holme House Estate",108
"SWKE0186","Honiton Gardens",291
"SWKE0187","Honor Oak Rise Estate",161
"SWKE0188","Howlands Estate",322
"SWKE0189","Inville Estate",372
"SWKE0190","Irwell Estate",387
"SWKE0191","Juniper House",468
"SWKE0192","Keetons Estate",1684
"SWKE0193","Kellow House",80
"SWKE0194","Kennedy Walk",75
"SWKE0195","Kennington Park House",250
"SWKE0196","Kennington Park Road 067-073(O)",63
"SWKE0197","Kenyon House",84
"SWKE0198","Kinglake Estate",2705
"SWKE0199","Kings Grove 056-060 & 060A",22
"SWKE0200","Kingston Estate",519
"SWKE0201","Kingswood Estate",4169
"SWKE0202","Kirby Estate",748
"SWKE0203","Kirkwood Road 116",21
"SWKE0204","Lake And Ley House Estate",180
"SWKE0205","Lancaster Estate",553
"SWKE0206","Lant Estate",474
"SWKE0207","Laurie House",98
"SWKE0208","Ledbury Estate",2477
"SWKE0209","Lefroy House Estate",120
"SWKE0210","Lettsom Estate",2723
"SWKE0211","Lewes House",200
"SWKE0212","Lidgate Road 001",42
"SWKE0213","Limes Walk",383
"SWKE0214","Linden Grove 040",36
"SWKE0215","Linden Grove Development",317
"SWKE0216","Linden Grove Estate",136
"SWKE0217","Lindley Estate",1965
"SWKE0218","Longfield Estate",2330
"SWKE0219","Lordship Lane 524",78
"SWKE0220","Lordship Lane Estate",1520
"SWKE0221","Lugard Road 030-052(E)",76
"SWKE0222","Lugard Road 45-55(O); Stanbury Road 56-78(E)",105
"SWKE0223","Lynton Estate",272
"SWKE0224","Lytcott Grove Estate",392
"SWKE0225","Magdalene Close",288
"SWKE0226","Manchester House",154
"SWKE0227","Manor Estate",2090
"SWKE0228","Mardyke Estate",388
"SWKE0229","Marigold Street 2; Pottery Street 7-8(C); Wilson Grove 14",24
"SWKE0230","Marshalsea Estate",492
