ID,Block_Name,Block_RV,Estate_ID
"SWKB0078","Athenlay Road 20-26(E), 20A-26A(E)",51,"SWKE0018"
"SWKB0079","Atkinson House, Barlow Street 1-29(C)",150,"SWKE0026"
"SWKB0080","Attilburgh House, Abbey Street 1-42(C)",252,"SWKE0316"
"SWKB0081","Attleborough Court, Sydenham Hill 1-57(C)",383,"SWKE0328"
"SWKB0082","Atwood House, Bowen Drive 1-28(C)",164,"SWKE0201"
"SWKB0083","Avery House, Redcross Way 1-4(C); Redcross Way 74-80(E)",43,"SWKE0230"
"SWKB0084","Aylesbury House, Friary Road 1-46(C), 7A, 16A, 30A & 39A",319,"SWKE0145"
"SWKB0085","Aylesford House, Long Lane 1-45(C)",265,"SWKE0329"
"SWKB0086","Aylton Estate, Renforth Street 1-64(C)",361,"SWKE0022"
"SWKB0087","Aylwin Estate, Grange Walk 1-14(C)",76,"SWKE0023"
"SWKB0088","Aylwin Estate, Grange Walk 15-28(C)",76,"SWKE0023"
"SWKB0089","Ayres Street 11-29(O)",62,"SWKE0024"
"SWKB0090","Babington House, Redcross Way 1-20(C)",134,"SWKE0230"
"SWKB0091","Badminton House, Quorn Road 1-12(C) ;East Dulwich Estate Shops, Dog Kennel Hill 4-6(C)",91,"SWKE0120"
"SWKB0092","Baldock House, Crawford Road 1-20(C)",125,"SWKE0100"
"SWKB0093","Balin House, Long Lane 1-70(C)",439,"SWKE0329"
"SWKB0094","Ballow Close 1-12(C)",85,"SWKE0129"
"SWKB0095","Ballow Close 13-24(C)",84,"SWKE0129"
"SWKB0096","Balman House, Rotherhithe New Road 1-53(C)",323,"SWKE0025"
"SWKB0097","Banks House, Rockingham Street 1-30(C)",166,"SWKE0288"
"SWKB0098","Bardell House, Parkers Row, 1-32(C) & Wade Hall",224,"SWKE0112"
"SWKB0099","Barham House, Kinglake Street 1-10(C)",66,"SWKE0198"
"SWKB0100","Barham House, Kinglake Street 11-30(C)",131,"SWKE0198"
"SWKB0101","Barker House, Bowen Drive 1-24(C)",140,"SWKE0201"
"SWKB0102","Barker House, Congreve Street 1-26(C)",153,"SWKE0087"
"SWKB0103","Barlow House, Galleywall Road 1-33(C)",193,"SWKE0286"
"SWKB0104","Barnet House, Crawford Road 1-12(C)",72,"SWKE0100"
"SWKB0105","Barrett House, Browning Street 1-20(C)",129,"SWKE0048"
"SWKB0106","Barry House, Galleywall Road 1-12(C)",66,"SWKE0286"
"SWKB0107","Barry House, Galleywall Road 13-32(C)",120,"SWKE0286"
"SWKB0108","Barry House, Galleywall Road 33-47(C)",90,"SWKE0286"
"SWKB0109","Barset Road 19-21(O); Howbury Road 18",16,"SWKE0027"
"SWKB0110","Barset Road 54-58(E)",16,"SWKE0027"
"SWKB0111","Bartholomew House, Denmark Road 1-6(C)",36,"SWKE0100"
"SWKB0112","Bartholomew House, Denmark Road 7-12(C)",36,"SWKE0100"
"SWKB0113","Barton Close 1-12(C)",60,"SWKE0028"
"SWKB0114","Barton Close 13-20(C)",40,"SWKE0028"
"SWKB0115","Barton Close 22-27(C)",30,"SWKE0028"
"SWKB0116","Barton Close 28-33(C)",30,"SWKE0028"
"SWKB0117","Barton Close 34-39(C)",30,"SWKE0028"
"SWKB0118","Bateman House, Otto Street 1-68(C)",400,"SWKE0041"
"SWKB0119","Bath Close 104-114(E)",30,"SWKE0045"
"SWKB0120","Bath Close 116-126(E)",31,"SWKE0045"
"SWKB0121","Bath Close 152-162(E)",33,"SWKE0045"
"SWKB0122","Bath Close 1-59(O)",150,"SWKE0045"
"SWKB0123","Bath Close 2-60(E)",150,"SWKE0045"
"SWKB0124","Bath Close 67-101(O)",114,"SWKE0045"
"SWKB0125","Bath Close 80-90(E)",36,"SWKE0045"
"SWKB0126","Bath Terrace 1-28(C)",200,"SWKE0288"
"SWKB0127","Battle House, Haymerle Road 1-10(C)",70,"SWKE0145"
"SWKB0128","Battle House, Haymerle Road 11-20(C)",60,"SWKE0145"
"SWKB0129","Beacon House, Southampton Way 1-10(C)",60,"SWKE0029"
"SWKB0130","Beamish House, Galleywall Road 1-20(C)",120,"SWKE0286"
"SWKB0131","Becket House, Tabard Street 1-25(C)",134,"SWKE0329"
"SWKB0132","Becket House, Tabard Street 26-70(C)",240,"SWKE0329"
"SWKB0133","Becket House, Tabard Street 71-90(C)",108,"SWKE0329"
"SWKB0134","Beech House, Swan Road 1-52(C)",319,"SWKE0006"
"SWKB0135","Beechdene, Carlton Grove 1-28(C)",188,"SWKE0002"
"SWKB0136","Belfry Close 1-21(C)",129,"SWKE0033"
"SWKB0137","Belham Walk 1-39(C)",206,"SWKE0111"
"SWKB0138","Ben Smith Way 1-11(O); Jamaica Road 112-122(E); John Roll Way 12-36(E)",125,"SWKE0192"
"SWKB0139","Benenden House 1-10(C)",65,"SWKE0198"
"SWKB0140","Bentley House, Peckham Road 1-89(C)",576,"SWKE0156"
"SWKB0141","Benwick Close 1-12(C)",60,"SWKE0144"
"SWKB0142","Beresford House, Bowen Drive 1-32(C)",200,"SWKE0201"
"SWKB0143","Bermondsey Wall East 182-186(E)",17,"SWKE0031"
"SWKB0144","Bethersden House, Kinglake Street 1-10(C)",71,"SWKE0198"
"SWKB0145","Bethersden House,Kinglake St 11-20(C)",72,"SWKE0198"
"SWKB0146","Betsham House, Newcomen Street 1-25(C)",178,"SWKE0329"
"SWKB0147","Bew Court, Lordship Lane 1-62(C)",423,"SWKE0220"
"SWKB0148","Binnie House, Bath Terrace 10A & 1-19(C)",115,"SWKE0288"
"SWKB0149","Bird In Bush Road 48-58(E), 48A-58A(E)",86,"SWKE0217"
"SWKB0150","Bird In Bush Road 80A & 82A, 60-82(E)",99,"SWKE0208"
"SWKB0151","Birdsall House, Champion Hill 1-34(C)",235,"SWKE0063"
"SWKB0152","Birkdale Close 1-20(C)",112,"SWKE0033"
"SWKB0153","Bishopsmead, Camberwell Road 1-38(C)",208,"SWKE0060"
"SWKB0154","Bittern House, Bittern Street 1-16(C)",101,"SWKE0206"
"SWKB0155","Blackstone House, Bowen Drive 1-8(C)",52,"SWKE0201"
"SWKB0156","Blackthorne Court 17-31(C)",90,"SWKE0254"
"SWKB0157","Blackthorne Court 1-8(C)",55,"SWKE0254"
"SWKB0158","Blackthorne Court 9-16(C)",56,"SWKE0254"
"SWKB0159","Blanch Close 13-33(C)",117,"SWKE0045"
"SWKB0160","Blanchedowne 10-16(E)",24,"SWKE0109"
"SWKB0161","Blanchedowne 2-8(E)",24,"SWKE0109"
"SWKB0162","Blanchedowne 30-36(E)",24,"SWKE0109"
"SWKB0163","Blanchedowne 38-44(E)",24,"SWKE0109"
"SWKB0164","Blanchedowne 54-60(E)",24,"SWKE0109"
"SWKB0165","Blanchedowne 62-68(E)",24,"SWKE0109"
