BD CODE,BD NAME,BD RATEABLE VALUE
BD000151,DALEY THOMPSON WAY,302
BD000152,HEATH ROAD,540
BD000153,HEATH ROAD,342
BD000154,HEATH ROAD,422
BD000155,HEATH ROAD,298
BD000156,HEATH ROAD,322
BD000157,HEATH ROAD,240
BD000158,HEATH ROAD,310
BD000159,HEATH ROAD,363
BD000160,HEATH ROAD,254
BD000161,HEATH ROAD,298
BD000162,KEITH CONNOR CLOSE 7 & 9,541
BD000163,KEITH CONNOR CLOSE 10-14,815
BD000164,KEITH CONNOR CLOSE 9 & 11,541
BD000165,KEITH CONNOR CLOSE,254
BD000166,KEITH CONNOR CLOSE,302
BD000167,KEITH CONNOR CLOSE,380
BD000168,NEWBY STREET,322
BD000169,NEWBY STREET,380
BD000170,PHIL BROWN PLACE 3-4,380
BD000171,PHIL BROWN PLACE,322
BD000172,PHIL BROWN PLACE,240
BD000173,PHIL BROWN PLACE 18-19,380
BD000174,ROBERTSON STREET 50-60,1266
BD000175,ROBERTSON STREET 62-64,422
BD000176,SILVERTHORNE ROAD,310
BD000177,SILVERTHORNE ROAD 9-11,380
BD000178,TESSA SANDERSON PLACE 3-4,380
BD000179,TESSA SANDERSON PLACE 7-8,422
BD000180,TESSA SANDERSON PLACE 9-10,422
BD000181,TESSA SANDERSON PLACE,322
BD000182,TESSA SANDERSON PLACE,322
BD000183,TESSA SANDERSON PLACE,326
BD000184,TESSA SANDERSON PLACE,314
BD000185,TRADESCANT ROAD 8-16,1308
BD000186,TRADESCANT ROAD 55 FLATS 1&2,334
BD000187,CLAPHAM ROAD,573
BD000188,HEMBERTON ROAD,367
BD000189,PRIDEAUX ROAD,394
BD000191,CLAPHAM ROAD,881
BD000193,LITTLEBURY ROAD 66-68,413
BD000195,LARKHALL RISE,1442
BD000196,LITTLEBURY ROAD 14-16,376
BD000197,CLAPHAM MANOR STREET 124-126,768
BD000198,LANDOR ROAD,482
BD000199,CRIMSWORTH ROAD,404
BD000200,LITTLEBURY ROAD 10-12,346
BD000201,LITTLEBURY ROAD 18-20,392
BD000202,LITTLEBURY ROAD 53-55,409
BD000203,EMILY MANSIONS 1-12,2205
BD000204,LITTLEBURY ROAD 58-60,346
BD000205,HUBERT GROVE 63 A + B,322
BD000206,HUBERT GROVE 58 A + B,322
BD000207,CLAPHAM ROAD,912
BD000208,CLAPHAM MANOR STREET 49 FLATS 1&2,422
BD000210,CLAPHAM MANOR STREET 101 FLATS 1&2,417
BD000211,CLAPHAM MANOR STREET 72 FLATS 1&2,472
BD000212,CLAPHAM MANOR STREET 74 FLATS 1&2,414
BD000213,LITTLEBURY ROAD 9-11,434
BD000214,VICTORIA RISE 207 FLATS 1-3,791
BD000215,ORLANDO ROAD 18 FLATS 1-4,718
BD000216,BRAYBOURNE AVENUE,405
BD000217,CHELSHAM ROAD 7 FLATS 1&2,314
BD000218,UNION ROAD 84 FLATS 1 2&3,561
BD000219,UNION ROAD,468
BD000220,SOUTH LAMBETH ROAD,636
BD000221,VICTORIA RISE,860
BD000222,GAUDEN ROAD,698
BD000223,GAUDEN ROAD 8 FLATS 1-3,755
BD000224,VICTORIA RISE,1140
BD000225,CUBITT TERRACE 12 FLATS A-C,562
BD000226,GAUDEN ROAD,629
BD000227," GAUDEN ROAD 4, FLATS 1,2&3",698
BD000228,GAUDEN ROAD 6 FLATS 1 2 & 3,698
BD000229,VICTORIA RISE 211A 211B 211 FLAT 2-12,2626
BD000230,ARLESFORD ROAD,347
BD000231,SIBELLA ROAD 17-19,1152
BD000232,ALDEBERT TERRACE 16 FLATS 1-3,534
BD000234," TRADESCANT ROAD, 41, FLATS 1-3",382
BD000235,SIBELLA ROAD 21-23,1382
BD000236,SIBELLA ROAD 25 FLAT A-C,598
