BD CODE,BD NAME,BD RATEABLE VALUE
BD000646,CARLTON COURT 2-24 EVEN 26-47 CONS,11220
BD000647,CARLTON COURT,318
BD000648,FOXLEY SQUARE 1-4,892
BD000649,FOXLEY SQUARE 5-10,1338
BD000650," FOXLEY SQUARE 22, 23 & 28",669
BD000651,FOXLEY SQUARE 29-34,1338
BD000652,FOXLEY SQUARE 48-67,4460
BD000653,FOXLEY SQUARE 69-74,1392
BD000654,FOXLEY SQUARE 75-80,1392
BD000655,SOUTHWYCK HOUSE 100-377 CONS,51546
BD000656,RAILTON ROAD 9 FLATS 1-4,980
BD000657,RAILTON ROAD ,262
BD000658,RAILTON ROAD ,274
BD000659, MARCUS GARVEY WAY ,262
BD000660,MARCUS GARVEY WAY ,262
BD000661,MARCUS GARVEY WAY 33 FLATS 1-6,1470
BD000662,BOB MARLEY WAY,306
BD000663,BOB MARLEY WAY 14 FLATS 1-6,1470
BD000664,BOB MARLEY WAY ,262
BD000665,MANDELA STREET ,326
BD000666,MANDELA STREET ,326
BD000667,PERSEVERANCE PLACE ,326
BD000668,PERSEVERANCE PLACE ,326
BD000669,CANCELL ROAD,223
BD000670,CANCELL RD 47-51 ODD,942
BD000671,BODLEY MANOR WAY 1-23 ODD,2784
BD000672,BODLEY MANOR WAY ,302
BD000673,BODLEY MANOR WAY 25-51,3248
BD000674,CROSBY WALK 2-14 EVEN,1806
BD000675,CROSBY WALK 1-39 ODD,5130
BD000676,CROSBY WALK ,302
BD000677,CROSBY WALK ,302
BD000678,CHANDLERS WAY,198
BD000679,CHANDLERS WAY,198
BD000680,HAMBRIDGE WAY,198
BD000681,HAMBRIDGE WAY 8-14,1624
BD000682,HARDEL WALK 2-46 64-114 E,12317
BD000683,HARDEL WALK 1-13,1806
BD000684,HARDEL WALK 15-27,1806
BD000685,HARDEL WALK 29-37 ODD,1290
BD000686,HARDEL WALK ,258
BD000687,HARDEL WALK 41-47 ODD,1032
BD000689,HARDEL WALK 49-55 & 116-122,2826
BD000690,LONGFORD WALK 1-35 ODD,4617
BD000691,LONGFORD WALK 2-18 EVEN,2322
BD000692,ROPERS WALK 2-16,2052
BD000693,SCARLETTE MANOR WAY 1-31 ODD,3712
BD000694,UPGROVE MANOR WAY 1-39,4640
BD000695,UPGROVE MANOR ,302
BD000696,HERNE HILL HOUSE 1-72,17758
BD000697,PARK VIEW HOUSE 1-72,17758
BD000698,VIRGINIA WALK 2&4,525
BD000699,VIRGINIA WALK 3&6,556
BD000700,VIRGINIA WALK 7&9,548
BD000701,VIRGINIA WALK 15&17,548
BD000702,VIRGINIA WALK 15&16,556
BD000703,PATMOS ROAD 17-27,1314
BD000704,CHERRY LAUREL WALK 3&4,484
BD000705,CHERRY LAUREL WALK 5&9,476
BD000706,CHERRY LAUREL WALK 2 6 7 8 10 14 15 16,2084
BD000707,CHERRY LAUREL WALK 15&16,521
BD000708,CHERRY LAUREL WALK13&17,432
BD000709,PATMOS ROAD 47-57,1314
BD000710,MYATT ROAD 2-12,1314
BD000711,MYATT ROAD ,322
BD000712,MANDELA STREET ,258
BD000713,MANDELA STREET ,326
BD000714,MANDELA STREET ,330
BD000715,MANDELA STREET ,330
BD000716,MANDELA STREET ,330
BD000717,MANDELA STREET ,330
BD000718,MANDELA STREET ,318
BD000719,MANDELA STREET ,326
BD000720,MANDELA STREET 28-30,446
BD000721,PERSEVERANCE PLACE,326
BD000722,SHAKESPEARE ROAD ,276
BD000723,SHAKESPEARE ROAD ,332
BD000724,SHAKESPEARE ROAD ,351
BD000725,SHAKESPEARE ROAD ,332
BD000726,SHAKESPEARE ROAD ,332
BD000728,SHAKESPEARE ROAD ,351
BD000730,SHAKESPEARE ROAD ,332
BD000732,ST JAMES CRESCENT,338
BD000733,ST JAMES CRESCENT ,338
BD000735,OBORNE CLOSE 1-2,556
BD000736,OBORNE CLOSE 3 & 4,556
BD000737,OBORNE CLOSE 5-10,966
BD000738,MILKWOOD RD 321-327 & OBORNE CLOSE 21&22,1668
BD000739,OBORNE CLOSE 23-28,1668
BD000740,MILKWOOD ROAD 329-331,556
BD000741,MILKWOOD RD 333-337 & OBORNE CLOSE 13-18,2266
BD000742,OBORNE CLOSE 19-20,556
BD000751,SOUTHWELL ROAD,408
BD000755,KENBURY MANSIONS,3320
BD000756,ARODENE ROAD,405
BD000757,BEECHDALE ROAD ,413
BD000758,DULWICH ROAD ,611
BD000759,ENDYMION ROAD ,461
BD000760,ENDYMION ROAD ,396
BD000761,FAIRMOUNT ROAD ,418
BD000762,FAIRMOUNT ROAD,459
BD000763,FAIRMOUNT ROAD ,425
BD000764,HELIX ROAD ,414
BD000765,HELIX ROAD ,409
BD000766,MILTON ROAD 48 FLATS 1&2,338
BD000767,"OSTADE HOUSE 6 A,B & C",483
BD000768,TULSE HILL,254
BD000769,LEANDER ROAD 74-78,1230
BD000770,LEANDER ROAD 112 FLATS 1+2,414
BD000771,LEANDER ROAD 164 FLATS 1&2,409
BD000772,MACKIE ROAD ,556
BD000773,EASTLAKE ROAD 25 FLAT 1 & 2,396
BD000774,EASTLAKE ROAD 27 1 & 2,545
BD000776,EASTLAKE ROAD 37 FLAT 1 & 2,392
BD000777,EASTLAKE ROAD 41 FLAT 1 & 2,397
BD000778,EASTLAKE ROAD 43 FLAT 1 & 2,401
BD000779,FLAXMAN ROAD 66 A&B,338
BD000780,SOUTHWELL ROAD 25 FLATS 1&2,404
BD000781,NORTHWAY ROAD 10 1-2,254
BD000782,HINTON ROAD ,375
BD000784,HERNE HILL ROAD 88-90,404
BD000785,HERNE HILL ROAD 92-94,404
BD000786,HERNE HILL ROAD 96-98,355
BD000787,HERNE HILL ROAD 100-102,454
BD000788,HERNE HILL ROAD 104-106,520
BD000789,HERNE HILL 110 & 112,384
BD000790,HERNE HILL ROAD 114-116,454
BD000791,HERNE HILL 126 & 128,442
BD000792,HERNE HILL ROAD 126-128,442
BD000793,DEERDALE ROAD 2 & 4,426
BD000794,DEERDALE ROAD 1 & 3,468
BD000795,DEERDALE ROAD 5 & 7,426
BD000796,DEERDALE ROAD 13&15,446
BD000797,DEERDALE ROAD 14 & 16,426
BD000798,DEERDALE ROAD 17 &19,384
BD000799,DEERDALE ROAD 18 & 20,384
BD000800,DEERDALE ROAD 21 & 23,454
BD000801,DEERDALE ROAD 26 & 28,376
BD000802,DEERDALE ROAD 30 & 32,454
BD000803,DEERDALE ROAD 38 & 40,450
BD000804,DEERDALE ROAD 42 & 44,446
BD000805,OAKBANK GROVE 3-5,376
BD000806,OAKBANK GROVE 6-8,396
BD000807,OAKBANK GROVE 11-13,396
BD000808,OAKBANK GROVE 14-16,421
BD000809,OAKBANK GROVE 19-21,429
BD000810,OAKBANK GROVE 18-20,421
BD000811,OAKBANK GROVE 27-29,376
BD000812,OAKBANK GROVE 34-36,405
BD000813,OAKBANK GROVE 43 & 45,376
BD000814,OAKBANK GROVE 55-57,376
BD000815,TEMPLAR STREET 13 1&2,572
BD000816,GRESHAM ROAD ,516
BD000817,GRESHAM ROAD,516
BD000818,LILFORD ROAD 7 A&B,434
BD000819,LILFORD ROAD 9 A&B,434
BD000820,LILFORD ROAD 11 A&B,434
BD000821,LILFORD ROAD 13 A&B,434
BD000822,AKERMAN ROAD 12 1&2,355
BD000823,AKERMAN ROAD 10 1&2,355
BD000824,LILFORD ROAD 21 A&B,434
BD000825,LILFORD ROAD 23 A&B,434
BD000826,LILFORD ROAD 3 A&B,415
BD000827,LILFORD ROAD 5 A-B,568
BD000828,LOUGHBOROUGH ROAD 62-70,519
BD000829,AKERMAN ROAD 28 1&2,499
BD000831,CLARIBEL ROAD 25 FLATS 1&2,485
BD000832,CLARIBEL ROAD 26 FLATS 1&2,485
BD000833,CLARIBEL ROAD 30 FLATS 1 & 2,434
BD000834,CLARIBEL ROAD 33 FLATS 1&2,434
BD000835,CLARIBEL ROAD 35 FLATS 1&2,434
BD000836,CLARIBEL ROAD 37 FLATS 1&2,434
BD000837,CLARIBEL ROAD 38 FLATS 1&2,434
BD000838,PENFORD STREET 18 FLATS 1 2&3,685
BD000840,FIVEWAYS ROAD 19 FLATS A-C,740
BD000841,FIVEWAYS ROAD 9 FLATS A-C,747
BD000842,FIVEWAYS ROAD 15 FLATS 1&2,512
BD000844,FIVEWAYS ROAD 3 A&B,493
BD000845,FIVEWAYS ROAD 5 FLATS 1-3,625
BD000846,VAUGHAN ROAD 19 FLATS 1 2&3,420
BD000847,UPSTALL STREET ,628
BD000848,COLDHARBOUR LANE 140 FLATS 1&2,463
BD000849,CAMBERWELL NEW ROAD 228 A&B,430
BD000850,BURTON ROAD ,490
BD000851,LOUGHBOROUGH ROAD 3 FLATS 1&2,511
BD000852,LOUGHBOROUGH ROAD 5 FLATS A&B,511
BD000853,LOUGHBOROUGH ROAD,524
BD000854,LOUGHBOROUGH ROAD ,532
BD000855,LOUGHBOROUGH ROAD ,524
BD000856,LOUGHBOROUGH ROAD 19 FLATS 1 & 2,524
BD000857,LUXOR STREET 16 FLAT 1 & 2,426
BD000858,LOUGHBOROUGH ROAD ,622
BD000859,LOUGHBOROUGH ROAD 82-84,432
BD000860,PAULET ROAD 127 FLATS 1&2,418
BD000861,PAULET ROAD 133 FLATS 1 2&3,528
BD000862,LILFORD ROAD 38 A&B,463
BD000863,LILFORD ROAD 40 A&B,463
BD000864,LILFORD ROAD 44 A&B,463
BD000865,LILFORD ROAD 52 A&B,463
BD000866,LOUGHBOROUGH ROAD 33 FLATS 1&2,1056
BD000867,BRIXTON ROAD 341 A-K,1638
BD000868,BRIXTON ROAD 345 A-J,1436
BD000869,BRIXTON ROAD 349 FLATS A-D,722
BD000870,BRIXTON ROAD 355 FLATS A-D ,722
BD000871,ROLLSCOURT AVENUE 16,624
BD000872,FLODDEN ROAD 22 FLAT 1-4,975
BD000873,FLODDEN ROAD 24 FLAT 1-3,811
BD000874,KNATCHBULL ROAD ,985
BD000875,"LOUGHBOROUGH ROAD 53, FLATS A&B NON-BLCK",368
BD000876,COLDHARBOUR LANE 288-302,739
BD000877,EASTLAKE ROAD 39 FLAT 1 & 2,397
BD000879,HERNE HILL,2826
BD000880,HERNE HILL 10-12 FLATS 1-10,2562
BD000881,HERNE HILL ,596
BD000883,BRIXTON ROAD 309/313 FLATS A-K,2159
BD000884,PAULET ROAD 91 FLATS 1-3,524
BD000885,LILFORD ROAD 54 A&B,463
BD000886,LILFORD ROAD 56 A&B,463
BD000887,LILFORD ROAD 58 A&B,472
BD000888,PAULET ROAD 97 FLATS 1 & 2,422
BD000889,PAULET ROAD 99 FLATS 1-4,705
BD000890,PAULET ROAD 67-133,4847
BD000891,PAULET ROAD 121 A+B,422
BD000892,PAULET ROAD 131 FLATS 1&2,418
BD000893,LOUGHBOROUGH PARK (65),3324
BD000894,LILFORD ROAD 60 A&B,485
BD000895,CAMBERWELL NEW ROAD 194 A&B,468
BD000896,BRIXTON ROAD 197 A-C,566
BD000897,BRIXTON ROAD 199A B C & 201,768
BD000898,BRIXTON ROAD 209 FLATS 1 2 & 3,687
BD000899,BRIXTON ROAD 217 A-C,604
BD000900,BRIXTON ROAD 219 FLATS A-C,709
BD000901,BRIXTON ROAD 221 A-C,600
BD000902,BRIXTON ROAD 223 A-C,604
BD000903,BRIXTON ROAD 225 A-C,604
BD000904,BRIXTON ROAD 227 -229,446
BD000906,MOSTYN ROAD 5 FLAT 1-5,748
BD000907,RUSSELL GROVE ,301
BD000908,VASSALL ROAD 48-52,432
BD000909,VASSALL ROAD ,223
BD000910,VASSALL ROAD ,706
BD000911,VASSALL ROAD 82 FLATS 1-3,432
BD000912,ARLINGFORD ROAD 6 FLATS 1 2 & 3,541
BD000913,ARLINGFORD ROAD 37-39,976
BD000914,ARLINGFORD ROAD ,607
BD000915,ARLINGFORD ROAD ,545
BD000916,ARLINGFORD ROAD 64 FLATS 1&2,380
BD000917," ARLINGFORD ROAD 67, FLATS 1,2 & 3",578
BD000918,ARLINGFORD ROAD 68 1+2,446
BD000919,ARLINGFORD ROAD ,577
BD000920,BANKTON ROAD 19 FLATS 1&2,392
BD000922,BRAILSFORD ROAD 10 & 12,649
BD000923,BRAILSFORD ROAD 20-22,653
BD000924,BRAILSFORD ROAD 32 A-C,574
BD000925,BRAILSFORD ROAD ,499
BD000926,BRIXTON WATER LANE 40-42,894
BD000927,DALBERG ROAD ,422
BD000928,DULWICH ROAD ,798
BD000930,DULWICH ROAD ,552
BD000931,EFFRA ROAD ,683
BD000932,EFFRA ROAD 15-17,1366
BD000933,EFFRA ROAD 35 FLATS 1-4,788
BD000935,KELLETT ROAD FLATS 1-5 HOUSE NO S 6-8,966
BD000936,KELLETT ROAD 17-19,818
BD000937,KELLETT ROAD FLATS 1-5 HOUSE NO S 21-23,1033
BD000938,KELLETT ROAD FLATS 1-5 HOUSE NO S 29-31,1033
BD000939,KELLETT ROAD 35 A & B,459
BD000940,KELLETT ROAD 39 A-C,474
BD000941,KELLETT ROAD 40 FLAT 1-4,478
BD000942,KELLETT ROAD 43 A & B,469
BD000943,KELLETT ROAD 56 FLATS A-C,420
BD000944,KELLETT ROAD 63 FLATS 1&2,434
BD000945,KELLETT ROAD 67 FLAT 1-3,499
BD000946,"KELLET ROAD 79, FLATS 1-3",462
BD000949,MERVAN ROAD,400
BD000950,RAILTON ROAD ,1093
BD000951,RAILTON ROAD 129 + 129A,294
BD000952,RAILTON ROAD 142 A & B,451
BD000953,RATTRAY ROAD 53-59,1588
BD000954,SALTOUN ROAD 46 FLAT 1-3,411
BD000955,SALTOUN ROAD ,445
BD000956,CORMONT ROAD 13 FLATS 1-3,524
BD000959,SALTOUN ROAD 35 FLAT 1-3,478
BD000960,SALTOUN ROAD 37 FLATS 1-3,499
BD000961,ST JOHNS CRESCENT ,1064
BD000962,WELBY STREET 7 1ST/2ND FL & GRD FLOOR,493
BD000963,LILFORD ROAD 19 FLATS 1&2,473
BD000964,COLDHARBOUR LANE 275A FLATS 1&2,465
BD000965,LOUGHBOROUGH PARK ,305
BD000966,MOORLAND ROAD 1-3,802
BD000967,PENFORD STREET 14-16,1372
BD000968,FAWNBRAKE ROAD ,565
BD000970,HAREDALE ROAD ,822
BD000971,BURTON ROAD ,556
BD000972,LOUGHBOROUGH ROAD 22 A&B,459
BD000973,LOUGHBOROUGH ROAD 24 A&B,459
BD000974,LOUGHBOROUGH ROAD 28-30,886
BD000975,LOUGHBOROUGH ROAD 36-38,918
BD000976,KNATCHBULL ROAD ,967
BD000977,KNATCHBULL ROAD ,700
BD000978,BURTON HOUSE 1-14,2339
BD000979,KNATCHBULL ROAD 1,941
BD000980,INGLIS STREET FLATS 1 & 2,490
BD000981,LOUGHBOROUGH ROAD ,459
BD000982,LOUGHBOROUGH ROAD ,459
BD000983,LOUGHBOROUGH ROAD 36A + 36B,459
BD000984,LOUGHBOROUGH ROAD 42A 42B & 42C,459
BD000985,LOUGHBOROUGH ROAD 44 A & B,459
BD000986,LOUGHBOROUGH ROAD 46 & 46A,459
BD000988,BURTON ROAD 129 A-C,624
BD000989,PENFORD STREET 6-8,1372
BD000990,PENFORD STREET 10 FLATS 1-3,686
BD000991,KNATCHBULL ROAD 62 FLATS 1 & 2,464
BD000992,TEMPLAR STREET 6 1 & GRD FL,546
BD000993,PENFORD STREET 16 FLATS 1 2&3,686
BD000994,LOUGHBOROUGH ROAD 50 F1 & 2,459
BD000995,AKERMAN ROAD 8 1&2,371
BD000996,PENFORD STREET 13 FLAT 1 2&3,674
BD000997,WELBY STREET 1 1ST/2ND FL & GRD FLOOR,501
BD000998,TEMPLAR STREET,546
BD001000,LILFORD ROAD ,752
BD001001,LOUGHBOROUGH ROAD 16-18,918
BD001002,PENFORD STREET 9 FLATS 1-3,674
BD001003,TEMPLAR STREET ,546
BD001004,BURTON RD 58 FLATS 1&2,405
BD001005,KNATCHBULL ROAD 111 FLATS 1-4,943
BD001006,KNATCHBULL ROAD 117 FLATS 1-3,591
BD001007,KNATCHBULL ROAD ,520
BD001008,KNATCHBULL ROAD 55 FLATS A & B,520
BD001009,BURTON ROAD 103 FLATS 1-4,539
BD001010, UPSTALL STREET,443
BD001011,BURTON ROAD 1-4 101,539
BD001012,KNATCHBULL ROAD 51 FLATS A B&C,662
BD001013,BURTON ROAD 94 FLATS 1-3,579
BD001014,CALAIS GATE 1-48,16474
BD001015,COLIGNY COURT 1-9,2861
BD001016,KNATCHBULL ROAD 85,490
BD001017,KNATCHBULL ROAD 95,556
BD001018,TEMPLAR STREET,532
BD001019,MACKIE HOUSE 1-12,3224
BD001020,MACKIE HOUSE 13-24,3224
BD001021,HOMER HOUSE 1-8,1783
BD001022,OVAL HOUSE 1-8,2128
BD001024,MERVAN ROAD 22 FLATS 1&2,359
BD001025,MERVAN ROAD 42 FLATS 1&2,430
BD001027,RATTRAY ROAD ,338
BD001029,FOXLEY ROAD 21 A-E,749
BD001030,FOXLEY ROAD 23 A-D,574
BD001031,FOXLEY ROAD 25 A-D,568
BD001032,FOXLEY ROAD 29 A-E,704
BD001033,FOXLEY ROAD 31 A-D,568
BD001034,FOXLEY ROAD 33 A-D,568
BD001035,FOXLEY ROAD 35 A-D,568
BD001036,FOXLEY ROAD 37 A-E,882
BD001037,VASSALL ROAD 105 A-E,736
BD001038,VASSALL ROAD 109 A-E,718
BD001039,VASSALL ROAD 111 A-E,718
BD001040,VASSALL ROAD 113 A-E,736
BD001041,VASSALL ROAD 115 A-D,566
BD001042,VASSALL ROAD 121 FLATS 1 B C&D,502
BD001043,FOXLEY ROAD 32 A-D,751
BD001044,FOXLEY ROAD 34 A-E,901
BD001045," FOXLEY ROAD, 38 A-D",822
BD001046,FOXLEY ROAD 40 A-D,739
BD001047,FOXLEY ROAD 42 A-E,905
BD001048,FOXLEY ROAD 44 A-D,810
BD001049,FOXLEY ROAD 46 A-E,990
BD001050,FOXLEY ROAD 48 A-D,810
BD001051,VASSALL ROAD 93 A-F,1115
BD001052,VASSALL ROAD 95 A-E,757
BD001053,VASSALL ROAD 99 A-E,716
BD001054,BRIXTON ROAD 91 A-D,785
BD001055,BRIXTON ROAD 95 A-E,958
BD001056,BRIXTON ROAD 97 FLATS A-D,698
BD001057,BRIXTON ROAD 99 A-D,706
BD001058,BRIXTON ROAD 105A-D NON-BLOCK,748
BD001059,BRIXTON ROAD 109 A-D,760
BD001060,BRIXTON ROAD 115 FLATS A-E,858
BD001061,BRIXTON ROAD 117-119,468
BD001062,BRIXTON ROAD 121 A-E,875
BD001063,BRIXTON ROAD 123 A-D,619
BD001064,BRIXTON ROAD 125 A-D,677
BD001065,BRIXTON ROAD 127 FLAT A-D,677
BD001066,BRIXTON ROAD 131 A B C & D,677
BD001067,BRIXTON ROAD 133 A-D,677
BD001068,BIRCH HOUSE 1-48,12032
BD001069,BRERETON 1-20,5194
BD001070,CHERRY CLOSE 1-33,8158
BD001071,CHERRY CLOSE 34-66 CONS,8158
BD001072,HARDHAM HOUSE 1-27,6689
BD001073,DEARMER HOUSE 1-30,7413
BD001074,ELLACOMBE HOUSE 1-20,4621
BD001075,GREENLEAF CLOSE 1-33,8158
BD001076,GREENLEAF CLOSE 34-66,8158
BD001077,HAWORTH HOUSE 1-15 CONS,3648
BD001078,HEYWOOD HOUSE 1-27 CONS,6646
BD001079, BARTELL HOUSE 1-26 CONS,6321
BD001080,ECCLESTONE HOUSE 1-24,5983
BD001081,HATHERSLEY HOUSE 1-16,4432
BD001082,HOLDSWORTH HOUSE 1 - 18,5146
BD001083,HOLT HOUSE 1-36,8884
BD001084,IRBY HOUSE 1-36 CONS,9664
BD001085,LANSDELL HOUSE 1-48,12032
BD001086,LAUGHTON HOUSE 1-24,5765
BD001087,LOMLEY HOUSE 1-28 CONS,6904
BD001088,POVEY HOUSE 1-20,4817
BD001089,PURSER HOUSE 1-110,29212
BD001090,RUDHALL HOUSE 1-27,6243
BD001091,SCARSBROOK HOUSE 1-24,5661
BD001092,TENDRING HOUSE 1-20,5106
BD001093,TULSE HILL 30,194
BD001094,TULSE HOUSE 1-54,14394
BD001095,WASHBROOK HOUSE 1-20,5328
BD001096,WOODRUFF HOUSE 1-20 CONS,5106
BD001097,FLEET HOUSE 1-20,5378
BD001098,LANGBOURNE HOUSE 1-20,6376
BD001099,MEATH HOUSE 1-44,11704
BD001100,REGENT ROAD 1A-11,1106
BD001101,REGENT ROAD ,266
BD001102,SHAREBOURNE HOUSE 1-6,1713
BD001103,TURNMILL HOUSE 1-12,3426
BD001104,VASSALL ROAD 101 A-E,736
BD001105,BRIXTON ROAD ,768
BD001106,BRIXTON ROAD 139 A-D,677
BD001108,CAMBERWELL NEW ROAD 88A & 88B,478
BD001109,CAMBERWELL NEW ROAD 90A & 90B,478
BD001110,CAMBERWELL NEW RD 106 & 106A,414
BD001111,CAMBERWELL NEW ROAD 108 & 108A,390
BD001112,CAMBERWELL NEW ROAD ,390
BD001113,CAMBERWELL NEW ROAD ,401
BD001115,CAMBERWELL NEW ROAD ,904
BD001116,CAMBERWELL NEW ROAD 182 A&B,413
BD001117," CAMBERWELL NEW ROAD 186 A,B&C",559
BD001118,THE WOODLANDS 1-6 CONS,927
BD001119,THE CAXTONS 7-12,1089
BD001120,VASSALL ROAD 104 A-E,942
BD001121,VASSALL ROAD 110 A-D,585
BD001122,FOXLEY ROAD 15 17 19,477
BD001123,JOSEPHINE AVENUE ,480
BD001124,ELAM CLOSE 1-12,3054
BD001125,ELAM CLOSE 13-31,5014
BD001126,ELAM CLOSE 32-49,5688
BD001127,SPICER CLOSE 5-27,3792
BD001128,SPICER CLOSE 29-81(ODD),7169
BD001129,SPICER CLOSE 83-121,5090
BD001130,MINET ROAD 24 A B,463
BD001131,MINET ROAD 26 A-B,372
BD001132,MINET ROAD 28 A & B,372
BD001133,MINET ROAD 32 A & B,372
BD001134,MINET ROAD 36 A & B,372
BD001135,LILFORD ROAD 14 A & B,367
BD001136,LILFORD ROAD 16 A & B,367
BD001137,LILFORD ROAD 20 A-B,367
BD001138,LILFORD ROAD 22 A&B,499
BD001139,HORLE WALK 1-34 CONS,9351
BD001140,HORLE WALK 35-54,4873
BD001141,GIBBS SQUARE 7-10,860
BD001142,GIBBS SQUARE 11-14,860
BD001143,GIBBS SQUARE 15-18,860
BD001144,GIBBS SQUARE 21-22,430
BD001145,GIBBS CLOSE 9-10,430
BD001146,GIBBS CLOSE 15-18 CONS,860
BD001149,DURNING ROAD 2,182
BD001151,DURNING ROAD 37-43,860
BD001152,DURNING ROAD 38,182
BD001153,DURNING ROAD 45-51,860
BD001154,DURNING ROAD 73 & 75,430
BD001155,DURNING ROAD 77 & 79,430
BD001156,DURNING ROAD 81-87,860
BD001158,TIVOLI ROAD ,182
BD001159,TIVOLI ROAD 80-86,860
BD001162,TIVOLI ROAD ,182
BD001163,TIVOLI ROAD ,182
BD001164,TIVOLI ROAD ,182
BD001165,TIVOLI ROAD,182
BD001166,TIVOLI ROAD 127 A & B,346
BD001168,DASSETT ROAD ,430
BD001170,KNIGHTS HILL ,190
BD001171,KNIGHTS HILL 250-252,380
BD001172,CROWN DALE ,182
BD001173,FURNEAUX AVENUE 9-11,346
BD001174,FURNEAUX AVENUE 13-15,346
BD001175,FURNEAUX AVENUE 21-23,430
BD001176,FURNEAUX AVENUE 25-27,430
BD001177,FURNEAUX AVENUE 29-31,430
BD001178,SANDERS HOUSE 29-42,3188
BD001179,PORTOBELLO HOUSE 1-26 CONS,7867
BD001180,FURNEAUX AVENUE 33-39,860
BD001181,FURNEAUX AVENUE 41-47,860
BD001182,FURNEAUX AVENUE 49-51,430
BD001183,FURNEAUX AVENUE 53-55,430
BD001184,FURNEAUX AVENUE 57-59,346
BD001185,FURNEAUX AVENUE 65-71,692
BD001186,ST GOTHARD ROAD 15-21 ODD,794
BD001187,ST GOTHARD ROAD 23-37,1588
BD001188,ST LOUIS ROAD ,250
BD001189," ST DENIS ROAD 1,3,5,7",794
BD001190,ST DENIS ROAD 9 11 13 15,794
BD001193,SANDERS HOUSE 1-12,2664
BD001194,SANDERS HOUSE 13-28,3188
BD001195,LAKE HOUSE 1-24 CONS,6792
BD001196,CEDARS HOUSE 1-24,6792
BD001197,CORK TREE HOUSE 1-40,8092
BD001198,LINDWAY ,250
BD001199,LINDWAY 18-24,686
BD001200,LAKEVIEW ROAD 1-8,1702
BD001201,LAKEVIEW ROAD 9-11,372
BD001202,LAKEVIEW ROAD ,258
BD001204,LAKEVIEW ROAD 15-25 ODD,1972
BD001205,LAKEVIEW ROAD ,258
BD001206,LAKEVIEW ROAD 31-65 ODD,5148
BD001207,LAKEVIEW ROAD ,258
BD001208,LAKEVIEW ROAD ,286
BD001209,LAKEVIEW ROAD 77-91,2088
BD001210,LAKEVIEW ROAD 93-107,2088
BD001211,LAKEVIEW ROAD 109-123,2088
BD001212,LAKEVIEW ROAD 125-135,744
BD001213,TRUSLOVE ROAD ,286
BD001214,TRUSLOVE ROAD ,258
BD001215,TRUSLOVE ROAD 39 & 41,372
BD001216,TRUSLOVE ROAD 55-57,372
BD001217,TRUSLOVE ROAD 58-80,3342
BD001218,TRUSLOVE ROAD 75 & 77,372
BD001219,TRUSLOVE ROAD 79-85,744
BD001220,TRUSLOVE ROAD ,250
BD001221,HOLDERNESS WAY 1-15,1488
BD001222,HOLDERNESS WAY 17-31,1488
BD001223,HOLDERNESS WAY ,290
BD001224,HOLDERNESS WAY ,290
BD001225,HOLDERNESS WAY ,236
BD001226,THE CREST 1-20,5784
BD001227,HOOK HOUSE 1-16,4508
BD001228,FARNWORTH HOUSE 1-16 CONS,4496
BD001229,RUSCOE HOUSE 1-18 CONS,5484
BD001230,SARDESON HOUSE 1-18 CONS,5484
BD001231,COOPER HOUSE 1A 1B 1C AND 2-16 CONS,4860
BD001232,WHITTAM HOUSE 1-18 CONS,5484
BD001233,RENSHAW HOUSE 1-18 CONS,5484
BD001234,ACACIA COURT 1-12 CONS,3306
BD001235,ALDER COURT 1-16,4618
BD001236,ASH COURT 1-12,3306
BD001237,BEECH COURT 1-16,4662
BD001238,BLACKTHORN COURT 1-12,3306
BD001239,HAWTHORN COURT 1-24 CONS,7536
BD001240,HAZEL COURT 1-18 CONS,5652
BD001241,LABURNAM COURT 1-12 CONS,3306
BD001242,SYCAMORE COURT 1-12 CONS,3306
BD001243,MAPLE COURT 1-12,3306
BD001244,CYPRESS COURT 1-8,1236
BD001245,LAMBERHURST ROAD 10-16,1304
BD001246,LAMBERHURST ROAD 18-22A,1304
BD001247,ST JULIANS FARM ROAD 124 FLATS 1-6,1980
BD001248,ELDER ROAD 25,232
BD001249,GIPSY ROAD 2-12,1644
BD001250,GIPSY ROAD 75-81,1256
BD001251,GIPSY ROAD 87-93,1256
BD001252,GIPSY ROAD GARDENS ,232
BD001255,SUMMERSELL HOUSE 1-28 CONS,7126
BD001256,CHAUCER HOUSE 1-9,2385
BD001257,MOORE HOUSE 1-12,3544
BD001258,GOODBEHERE HOUSE 1-12,3804
BD001259,MORTON HOUSE 1-18,5316
BD001260,ASTLEY HOUSE 1-16,4072
BD001261,BUSHELL HOUSE 1-12,3600
BD001262,HOGARTH HOUSE 1-20,4901
BD001263,BLIGH HOUSE 1-12,3544
BD001264,WINDSOR CLOSE,236
BD001265,WINDSOR CLOSE ,236
BD001266,WINDSOR CLOSE 13-36,6864
BD001267,WINDSOR CLOSE 47-58,3432
BD001268,CLAYLANDS COURT 1-21,5586
BD001269,CHARTERS CLOSE 7-18,3180
BD001270,CHARTERS CLOSE 19-30,3576
BD001271,CHARTERS CLOSE 31-46,4720
BD001272,CHARTERS CLOSE 47-58,3576
BD001273,CHARTERS CLOSE 59-67,2286
BD001274,CHARTERS CLOSE 68-81 CONS,3217
BD001275,ROMMANY COURT 1-12 CONS,3054
BD001276,PEAR TREE HOUSE 1-8,2032
