Estate,RV,CCTV,Cleaning,Communal Electricity,Repairs and Maintenance,Grounds Maintenance,Tree Maintenance,,,Only Estates with Homeowners
Christchurch Road Estate,2384,0,453.63,72.47,0,174.05,0,,,
Charles Mills Court Estat,3102,0,1688.66,136.99,0,870.76,0,,,
Douglas Robinson Court Es,2243,0,1924.83,98.18,0,309.17,0,,,
Bournevale Road Estate,2071,0,632.77,0,136.18,276.53,4789.8,,,
St Anselms Court Estate,10568,0,3901.64,410.16,213.49,1441.61,0,,,
Albert Carr Gardens Estate,31880,0,22014.57,2622.79,6032.25,8162.92,336.41,,,
Hopton Court Estate,1553,0,441.6,0,122.36,0,4373.3,,,
Russell Court Estate,9984,0,9679.61,417.07,7423.56,4174.61,957.96,,,
Grasmere Road Estate,3864,0,2889.48,164.54,68.1,1017.74,0,,,
Roupell Road Estate,5610,0,6935.25,0,176.46,1693.8,7663.69,,,
Deronda Estate,42585,0,42814.09,3251.52,40423.82,7175.8,6237.96,,,
Norwood Road Estate,2264,0,1885.55,0,0,691.61,0,,,
Lanercost Close Estate,12167,0,8048.83,3696.98,1987.7,2579.65,957.96,,,
William Brown Court Estat,5880,0,4820.44,891.43,2314.8,562.84,0,,,
Alexandra Walk Estate,4925,0,3261.63,257.45,1000.74,1169.02,0,,,
Maytree Walk Estate,4034,0,1511.11,561.86,68.1,367.39,8153.88,,,
Woodvale Estate,52674,0,44493.04,3465.76,20395.28,10337.44,0,,,
Stanthorpe Close Estate,6345,0,3057.21,141.45,3835.45,172.45,0,,,
Ryan Court Estate,15122,0,8182.04,1302.47,376.14,781.45,0,,,
Limetree Close Estate,2964,0,14217.49,0,731.74,1277.68,0,,,
Boscombe Gardens Estate,10346,0,4841.07,473.77,2959.73,501.55,336.41,,,
Linton Grove Estate,35056,0,17257.7,11487.85,26871.99,3528.46,3210.29,,,
Mount Pleasant Estate,7656,0,3614.85,605.71,2159.1,2414.34,1915.92,,,
Becondale Estate,28490,0,17192.68,2932.88,1293.73,1645.11,0,,,
Dunbar Dunelm Estate,32668,0,14689.71,9033.56,9055.32,2057.67,0,,,
Hainthorpe Estate,42038,0,19570.87,7866.47,6115.94,2819.73,336.41,,,
Clive Road Estate,25915,0,13980.69,4890.4,8488.46,1340.64,2018.45,,,
Rommany Road Flats,2530,0,0,215.07,0,0,0,,,
Lairdale Estate,26841,0,15530.2,4802.93,10898.46,1420.37,35556.69,,,
Guernsey Grove Estate,2695,0,2721.82,1657.79,1594.85,492.57,1294.37,,,
Valley Road Estate,64860,0,13883.34,30.92,9133.5,2232.17,6084.17,,,
Berridge Road Estate,43439,0,27226.19,3395.95,14316.95,4774.69,4658.45,,,
Clytha Court Estate,2670,0,1248.44,157.85,0,309.33,0,,,
Leigham Court Estate,175220,0,18522.72,2602.43,0,338.21,336.41,,,
Hope Park Estate,13930,0,5914.55,767.56,0,3374.02,8621.65,,,
Belenoyd Court Estate,4933,0,3011.76,320.76,0,788.94,0,,,
Palace Road Estate,91356,0,58123.83,7771.45,18386.21,21753.92,957.96,,,
Streatham Hill Estate,60320,0,49388.13,1925.17,1429.91,10728.84,1682.04,,,
Sackville Estate,47969,0,32388.59,3310.67,1770.37,16184.38,1294.37,,,
Bowlands Road Estate,65983,0,49254.27,10708.88,5978.34,5215.64,336.41,,,
Teignmouth Close Flats,5040,0,1861.66,235.84,0,0,0,,,
St Alphonsus Estate,8188,0,6153.6,996.77,107.06,2497.67,0,,,
Kings Avenue Flats,2451,0,1610.65,124.19,64.23,731.09,0,,,
Notre Dame Estate,99583,0,50824.55,13336.26,2423.11,9586.13,0,,,
James Hayward Estate,13116,0,8404.15,628.52,251.29,2852.53,0,,,
Saxby Road Estate,14427,0,13104.66,631.02,2189.7,4513.02,0,,,
Barry Court Flats,3218,0,282.84,126.89,0,267.1,0,,,
Lessar Court Flats,6164,0,980.72,251.54,0,1300.39,2873.88,,,
Cautley Avenue Flats,5230,0,1070.95,251,0,219.46,0,,,
Argyll Court Estate,4932,0,1709.41,251.3,204.27,1000.16,0,,,
