Block,RV,Boiler Repairsand Maintenance,CCTV,Cleaning,Communal Electricity,Communal Electrical Maintenance,TV Aerial,Communal Water Quality,Communal Window Cleaning,Communal Ventilation Maintenance,Concierge,Disinfestation,Dry Riser,Door Entry System,Cleaning External,Grounds Maintenance External,External Tree Maintenance,Repairsand Maintenance External,Fire Ventilation Maintenance,Repairsand Maintenance,Lift Services & Repairs,Lightning Protection,,Only blocks containing homeowners
"Tessa Sanderson Place (15,16)",422,0,0,296.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Tradescant Road 8-16,1308,0,0,0,467.62,305.11,0,0,0,0,0,0,0,0,0,0,0,0,0,1548.96,0,0,,
Tradescant Road 47,293,0,0,0,0,0,0,226.24,0,0,0,0,0,0,0,0,0,0,0,516.32,0,0,,
Tradescant Road 55 Flats 1&2,334,0,0,0,176.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556.1,0,0,,
Clapham Road 353,573,0,0,0,176.16,0,0,0,0,0,0,0,0,384.97,764.13,0,0,0,0,516.32,0,0,,
Hemberton Road 54,367,0,0,0,150.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458.29,0,0,,
Prideaux Road 27,394,0,0,0,388.3,101.7,0,0,0,0,0,0,0,0,0,0,0,0,0,516.32,0,0,,
Clapham Road 357,881,0,0,0,-1256.53,0,0,0,0,0,0,0,0,0,1174.87,0,0,0,0,1087.33,0,0,,
Littlebury Road 66-68,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.68,0,0,,
Larkhall Rise 101,1442,0,0,0,342.12,0,0,226.24,0,0,0,105.74,0,0,649.61,268.43,0,0,0,516.32,0,0,,
Clapham Manor Street 124-126,768,0,0,1281.7,217.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1626.92,0,0,,
Landor Road 121,482,0,0,0,0,0,0,0,0,0,0,105.74,0,0,0,0,0,0,0,755.87,0,0,,
Grafton Square 43,612,0,0,0,183.33,0,0,0,0,0,0,105.74,0,0,0,0,0,0,0,879.89,0,0,,
Tasman Road 48,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437.55,0,0,,
Emily Mansions 1-12,2205,0,0,2164.72,609.76,0,0,0,0,0,0,0,0,769.92,0,0,0,0,0,2040.63,0,0,,
Hubert Grove 63 A + B,322,0,0,0,0,101.7,0,0,0,0,0,0,0,0,0,0,0,0,0,246.13,0,0,,
Hubert Grove 58 A + B,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246.13,0,0,,
Clapham Road 333,912,0,0,0,268.92,0,0,0,0,0,0,0,0,384.97,159.06,0,0,0,0,565.55,0,0,,
Clapham Manor Street 49 Flats 1&2,422,0,0,704.26,128.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1487.05,0,0,,
Clapham Manor Street 101 Flats 1&2,417,0,0,695.92,876.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516.32,0,0,,
Clapham Manor Street 72 Flats 1&2,472,0,0,787.71,63.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448.36,0,0,,
Clapham Manor Street 74 Flats 1&2,414,0,0,690.91,151.35,0,0,0,0,0,0,211.48,0,0,0,0,0,0,0,0,0,0,,
Victoria Rise 207 Flats 1-3,791,0,0,0,-1775.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571,0,0,,
Orlando Road 18 Flats 1-4,718,0,0,0,156.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619.61,0,0,,
Braybourne Avenue 1,405,0,0,0,142.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,767.66,0,0,,
Braybourne Avenue 8,400,0,0,0,137.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378.61,0,0,,
Chelsham Road 7 Flats 1&2,314,0,0,0,180.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.68,0,0,,
Union Road 39,468,0,0,0,-51.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467.11,0,0,,
South Lambeth Road 217,636,0,0,0,174.33,101.7,0,0,0,0,0,105.74,0,0,0,0,0,0,0,651.82,0,0,,
Victoria Rise 140,860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,,
Gauden Road 2,698,0,0,0,154.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654.95,0,0,,
Gauden Road 8 Flats 1-3,755,0,0,0,144.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571,0,0,,
Victoria Rise 116,1140,0,0,0,626.33,0,0,0,0,0,0,105.74,0,0,0,0,0,0,0,763.8,0,0,,
Gauden Road 112,629,0,0,0,194.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157.7,0,0,,
" Gauden Road 4, Flats 1,2&3",698,0,0,0,276.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571,0,0,,
Gauden Road 6 Flats 1 2 & 3,698,0,0,0,248.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516.32,0,0,,
Victoria Rise 211a 211b 211 Flat 2-12,2626,0,0,0,321.03,0,0,0,0,0,0,422.96,0,384.97,0,0,0,0,0,7699.12,0,0,,
Arlesford Road 33,347,0,0,0,146.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Sibella Road 17-19,545,0,0,0,377.25,0,0,0,0,0,0,317.22,0,0,232.61,4.14,0,0,0,2242.11,0,0,,
Aldebert Terrace 16 Flats 1-3,534,0,0,0,110.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645.29,0,0,,
Landor Road 13-15,0,0,0,0,231.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.86,0,0,,
" Tradescant Road, 41, Flats 1-3",382,0,0,0,160.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Sibella Road 23,625,0,0,0,445.72,101.7,0,0,0,0,0,317.22,0,0,266.75,2.24,0,0,0,1198.94,0,0,,
Sibella Road 25 Flat A-C,598,0,0,0,262.9,101.7,0,0,0,0,0,0,0,0,255.23,2.15,0,0,0,653.94,0,0,,
Tradescant Road 43 Flat 1 2&3,387,0,0,0,159.2,101.7,0,0,0,0,0,211.48,0,0,0,0,0,0,0,516.32,0,0,,
Bromells Road 19,595,0,0,0,157.38,0,0,0,0,0,0,105.74,0,0,0,0,0,0,0,638.74,0,0,,
Iveley Road 57,662,0,0,0,137.67,0,0,0,0,0,0,105.74,0,0,0,0,0,0,0,516.32,0,0,,
Iveley Road 9-23,1584,0,0,0,0,0,0,0,0,0,0,211.48,0,0,0,0,0,0,0,109.37,0,0,,
Old Town 20-26,1634,0,0,0,150.3,0,0,226.24,0,0,0,0,0,0,0,0,0,0,0,396.14,0,0,,
Albert Square 2 Flats 1-4,780,0,0,0,70.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538.01,0,0,,
Jeffreys Road 49a B & C,724,0,0,0,141.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396.89,0,0,,
Jeffreys Road 51,724,0,0,0,139.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295.35,0,0,,
Lansdowne Gardens 7b Flat 1 & 2,560,0,0,0,0,101.7,0,0,0,0,0,0,0,0,0,0,0,0,0,526.69,0,0,,
Wandsworth Road 663,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516.32,0,0,,
Landor Road 19-29,2141,0,0,0,147.67,0,0,0,0,0,0,105.74,0,0,0,0,0,0,0,2891.2,0,0,,
Guildford Road 28 Flats 1 2&3,850,0,0,0,142.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1229.37,0,0,,
Guildford Road 24 Flats 1 2&3,675,0,0,0,326.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206.45,0,0,,
Carlton Mansion 1-11 Cons.,2151,0,0,2111.71,712.27,0,375.31,0,0,0,0,0,0,0,0,0,0,0,0,1243.32,0,0,,
Rusper Court 1-70,16682,0,0,16377.25,12085.99,0,493.52,452.47,0,0,0,317.22,0,1111.41,0,0,0,0,0,21141.77,2750.1,0,,
Hubert Grove 61 A + B,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.51,0,0,,
Rectory Court 49,1236,0,0,1335.28,102.96,0,0,904.96,0,0,0,211.48,0,0,665.45,0,0,0,0,839.59,0,0,,
Goston Gate 1-8,2352,0,0,2309.03,0,561.47,267.8,0,0,0,0,0,0,0,0,0,0,0,0,260.02,1625.47,0,,
Hampson Way 1-263 Odd,34181,0,0,33556.57,8159.79,1715.3,850.3,1565.02,0,0,0,1480.36,0,0,0,0,0,0,0,10075.43,2750.1,0,,
Hampson Way 2-48 Even,6384,0,0,6267.38,3073.86,561.47,267.8,1073.23,0,0,0,0,0,0,0,0,0,0,0,684.91,1375.04,0,,
Dovet Court 1-97,27961,0,0,27450.2,6719.95,576.91,469.14,1396.74,0,0,0,740.18,0,0,0,0,0,0,0,10352.23,2750.1,0,,
Portland Grove 8-38 Even,3568,0,0,3502.82,2194.58,553.72,267.8,452.47,0,0,0,0,0,0,0,0,0,0,0,463.16,0,0,,
Portland Grove 74-108,2898,0,0,2845.06,509.82,0,267.8,452.47,0,0,0,0,0,0,0,0,0,0,0,76.57,0,0,,
Portland Grove 110-180 Even,10584,0,0,10390.65,3172.94,109.44,291.25,1292.98,0,0,0,634.44,0,0,0,0,0,0,0,10853.61,2750.1,0,,
Rundell Tower 1-82,22366,47514.84,0,21957.41,26900.87,716.09,469.14,2518.58,0,0,70158.22,422.96,306.63,1242.29,0,0,0,0,0,6731.09,3524.14,349.72,,
Selway House 2-36,9900,0,0,9719.14,110.32,0,0,4072.31,0,0,0,12.02,0,384.97,0,0,0,0,0,22082.37,0,0,,
Stambourne House 1-20,6120,0,0,6008.2,1307.22,0,0,2262.39,0,0,0,7.43,0,384.97,0,0,0,0,0,5690.98,0,0,,
Teversham Lane 1-95,15464,0,0,15181.5,790.61,0,0,5429.75,0,0,0,124.51,0,0,0,0,0,0,0,8206.66,0,0,,
Guildford Road 1-47 Odd,7368,0,0,7233.4,652.73,0,0,2714.87,0,0,0,211.48,0,0,0,0,0,0,0,4813.07,0,0,,
