Property Ref,Bed Size,Block Reference,Estate Reference,Block Definition Code (Used for Service Charges)
654737,0,STR000371,EB116,BD002871
654738,0,STR000371,EB116,
654739,0,STR000371,EB116,
654740,0,STR000371,EB116,BD002871
654741,0,STR000371,EB116,
654742,0,STR000371,EB116,
607567,0,STR000356,EA104,
607569,0,STR000356,EA104,
607571,0,STR000356,EA104,
654029,0,STR000753,EA117,
654030,0,STR000753,EA117,
654037,0,STR000753,EA117,
654038,0,STR000753,EA117,BD002850
654045,0,STR000753,EA117,
654046,0,STR000753,EA117,
654053,0,STR000753,EA117,
654054,0,STR000753,EA117,
654059,0,STR000753,EA117,
654060,0,STR000753,EA117,BD002850
664632,0,STR000055,EA026,BD002838
664685,0,STR000759,EA117,BD002852
664686,0,STR004454,EB043,BD000519
664687,0,STR004454,EB043,BD000519
678662,0,STR000307,EA035,
655993,0,STR000487,EA087,BD002922
657098,0,STR006480,ENCS1,BD003000
657099,0,STR006480,ENCS1,BD003000
657102,0,STR013366,ENCS1,
657103,0,STR013366,ENCS1,
657104,0,STR013366,ENCS1,BD003001
657105,0,STR013366,ENCS1,BD003001
608724,0,STR005872,EA044,
608726,0,STR005872,EA044,
608727,0,STR005872,EA044,
608728,0,STR005872,EA044,
608729,0,STR005872,EA044,
608730,0,STR005872,EA044,BD000363
608731,0,STR005872,EA044,BD000363
608732,0,STR005872,EA044,
608733,0,STR005872,EA044,
608734,0,STR005872,EA044,
608735,0,STR005872,EA044,
608736,0,STR005872,EA044,
608737,0,STR005872,EA044,
608738,0,STR005872,EA044,
608739,0,STR005872,EA044,
608740,0,STR005872,EA044,
608741,0,STR005872,EA044,
608742,0,STR005872,EA044,BD000363
608743,0,STR005872,EA044,
608744,0,STR005872,EA044,
608745,0,STR005872,EA044,BD000363
608785,0,STR005884,EA044,BD000366
664696,0,STR005866,EA044,BD000364
664697,0,STR005866,EA044,BD000364
653749,0,STR000141,EA026,
653755,0,STR000141,EA026,
653761,0,STR000141,EA026,
653767,0,STR000141,EA026,
653773,0,STR000141,EA026,
660178,0,STR003563,ENNL1,BD003127
660180,0,STR003563,ENNL1,
660182,0,STR017139,ENNL1,BD003128
660183,0,STR017139,ENNL1,
660186,0,STR017140,ENNL1,BD003129
620225,0,STR017025,ENNL6,
620226,0,STR017025,ENNL6,BD001030
620229,0,STR017026,ENNL6,BD001031
620230,0,STR017026,ENNL6,BD001031
620232,0,STR017027,ENNL6,
620233,0,STR017027,ENNL6,
620236,0,STR017028,ENNL6,
620237,0,STR017028,ENNL6,
620241,0,STR017029,ENNL6,BD001033
620242,0,STR017029,ENNL6,BD001033
620245,0,STR017030,ENNL6,BD001034
620246,0,STR017030,ENNL6,
620249,0,STR017031,ENNL6,BD001035
620250,0,STR017031,ENNL6,
620253,0,STR017032,ENNL6,
620304,0,STR004263,ENNL6,BD001043
664705,0,STR017025,ENNL6,BD001030
664706,0,STR017032,ENNL6,BD001036
664707,0,STR017035,ENNL6,BD001047
607735,0,STR000779,EA068,
658590,0,STR003794,EB049,BD003065
664709,0,STR000649,EA124,BD002860
603892,0,STR014703,EA047,BD000067
604282,0,STR017317,EA047,BD000118
604310,0,STR004692,EA047,BD000122
608652,0,STR006320,EA048,BD000359
664712,0,STR006320,EA048,BD000359
664713,0,STR006321,EA048,BD000360
664717,0,STR000215,EA130,BD002894
607678,0,STR000630,EA104,
687036,0,STR017921,ENCS2,BD003441
656863,0,STR011872,EB055,BD002979
658269,0,STR000029,EA111,BD003059
658283,0,STR000029,EA111,BD003059
658300,0,STR000029,EA111,BD003059
658314,0,STR000029,EA111,BD003059
654181,0,STR000217,EA117,BD002853
654191,0,STR000217,EA117,BD002853
654211,0,STR000217,EA117,BD002853
654213,0,STR000217,EA117,BD002853
654214,0,STR000217,EA117,BD002853
605670,0,STR011304,ENCS2,BD000252
605679,0,STR006334,ENCS2,BD000254
605680,0,STR006334,ENCS2,BD000254
606594,0,STR006349,EA105,BD000272
664725,0,STR006350,EA105,BD000273
664726,0,STR006350,EA105,BD000273
664727,0,STR006350,EA105,BD000273
664728,0,STR006350,EA105,BD000273
664729,0,STR006350,EA105,BD000273
664638,0,STR013120,ENPA1,BD003299
607995,0,STR000010,EB114,BD000318
664551,0,STR000010,EB114,BD000318
664552,0,STR006354,EA079,BD000262
608421,0,STR000275,EA068,BD000347
656889,0,STR000004,EB059,
656892,0,STR000004,EB059,
656897,0,STR000004,EB059,BD002983
656900,0,STR000004,EB059,
656905,0,STR000004,EB059,BD002983
656908,0,STR000004,EB059,
656910,0,STR017146,ENNL4,BD002984
664561,0,STR000313,EA062,BD003279
655069,0,STR000158,EA130,
655070,0,STR000158,EA130,
655071,0,STR000158,EA130,
655072,0,STR000158,EA130,
655073,0,STR000158,EA130,
655074,0,STR000158,EA130,
655075,0,STR000158,EA130,
655076,0,STR000158,EA130,
655077,0,STR000158,EA130,
655078,0,STR000158,EA130,
655079,0,STR000158,EA130,BD002895
655080,0,STR000158,EA130,BD002895
655081,0,STR000158,EA130,
654863,0,STR000394,EA019,
654865,0,STR000394,EA019,
654868,0,STR000394,EA019,
654870,0,STR000394,EA019,BD002881
654873,0,STR000394,EA019,
654875,0,STR000394,EA019,
664677,0,STR000432,EA044,BD000375
605165,0,STR006228,ENCS4,BD000205
605171,0,STR006225,ENCS4,BD000206
656390,0,STR000288,EA019,BD002927
656391,0,STR000288,EA019,
656392,0,STR000288,EA019,
656393,0,STR000288,EA019,
656394,0,STR000288,EA019,
656395,0,STR000288,EA019,
656396,0,STR000288,EA019,
656397,0,STR000288,EA019,
654892,0,STR000292,EA019,
654897,0,STR000292,EA019,
654902,0,STR000292,EA019,
606729,0,STR000513,EA105,BD000278
686492,0,STR003774,ENNL2,BD002988
619755,0,STR004346,ENNL7,
664599,0,STR004605,ENNL7,BD003294
664631,0,STR004531,ENNL7,BD000874
664633,0,STR004531,ENNL7,BD000874
664635,0,STR004519,ENNL7,BD000979
686520,0,STR004469,ENNL7,BD000977
656957,0,STR012102,ENNL1,
656960,0,STR003776,ENNL1,BD002990
664425,0,STR000388,EA066,BD002921
605730,0,STR011642,ENCS4,BD000250
687041,0,STR006202,ENCS4,BD003443
605197,0,STR006370,ENCS4,
664428,0,STR000303,ENNL7,BD003245
654292,0,STR000210,EA117,
654296,0,STR000210,EA117,
654297,0,STR000210,EA117,BD002855
654300,0,STR000210,EA117,
654302,0,STR000210,EA117,BD002855
654304,0,STR000210,EA117,
654308,0,STR000210,EA117,
654313,0,STR000210,EA117,
654316,0,STR000210,EA117,
654320,0,STR000210,EA117,
654324,0,STR000210,EA117,
654328,0,STR000210,EA117,
